Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
11-Mar-2024,"INR 37,999,809",548.0,Shubham Aggarwal,12-Mar-2024 07:03 PM,adobe.pdf (373.00 KB),Award of contract,Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Deepak Walia Superintendent PMGSY,Ravi Bhatti,29-Jan-2024 01:26 PM,finsummary_123319.pdf (17.05 KB),Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Deepak Walia Superintendent PMGSY,Ravi Bhatti,16-Jan-2024 03:48 PM,16-Jan-2024 03:55 PM,techsummary_123319.pdf (17.05 KB),PWD,2023_PWD_82942_1,No.12000-07 date 17.12.2023,Construction of lick road from Uperla Badyola to Neechla Badyola km 0/0 to 3/060,Finance,Financial bid opening summary,Ravi Bhatti,18-Jan-2024 11:07 AM,finance_123319.pdf,BOQ Comparative Chart,1.0,394756.0,Maheshrajan,INR,"37,999,809",Technical,Technical bid open summary,Ravi Bhatti,05-Jan-2024 11:58 AM,technical_123319.pdf,1.0,394023.0,ashok chauhan and co,28-Dec-2023 01:23 PM,Rejected-Finance,L-3,29-Jan-2024,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,23-Dec-2023 11:00 AM,29-Dec-2023 11:30 AM,23-Dec-2023 11:00 AM,29-Dec-2023 11:00 AM,NA ,NA ,23-Dec-2023 11:00 AM,29-Dec-2023 11:00 AM,16-Jan-2024 03:55 PM,PWD,No.12000-07 date 17.12.2023,2023_PWD_82942_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender and earnest money indicate in Schedule F General Rule NO. 24.1,Construction of lick road from Uperla Badyola to Neechla Badyola km 0/0 to 3/060,"Formation deficiency formation cutting i/c retaining walls, Breast walls, CD works, road side drain, PCC Parapets, GSB, WBM, G-II, G-III, Tarring works, sign board, including five year maintenance) under NABARD-RIDF-XXIX",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,548.0,Solan,173212.0,NA ,NA ,NA ,Solan B and R division,No ,No,"5,000",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer B and R Division HPPWD Solan,near new bus stand solan,"9,20,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,394756.0,Maheshrajan,28-Dec-2023 05:14 PM,Accepted-AOC,work awarded to the contractor.,12-Mar-2024,2.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. Contractors registration refers general rules and directions No 24.3 of SBD.,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,394590.0,P.C Sankhyan,28-Dec-2023 11:55 PM,Rejected-Finance,L-2,29-Jan-2024,3.0,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. GST registration refers general rules and Directions no 24.4 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Work Details ,Existing Commitments ,Existing Commitments Details ,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Work done certificate and work in hand certificate refer in general rules No 24.5 schedule F Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. Affidavits of correctness of all the documents are submitted is true by the Contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Work done condition one similar nature of work not less than 40 percent of the estimated cost as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload PDF documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
