Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,07-Mar-2023 06:39 PM,finsummary_103774.pdf (208.10 KB),26-Mar-2024,"INR 104,885",30.0,Rajeev Kumar,26-Mar-2024 06:06 PM,18602.pdf (1020.00 KB),Repair work of Type-II Quarter No.50 to 55 in Police Line Chamba (SH Replacement of roofing and painting),PWD,2023_PWD_68809_1,No.PWC-WA-17212-311 dated 7.2.2023,Repair work of Type-II Quarter No.50 to 55 in Police Line Chamba (SH Replacement of roofing and painting),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,27-Feb-2023 11:51 AM,02-Mar-2023 11:30 AM,techsummary_103774.pdf (559.28 KB),1.0,327320.0,DHEERAJ PURI,INR,"89,631",Finance,BOS,Jeet Singh Thakur,03-Mar-2023 05:32 PM,finance_103774.pdf,BOQ Comparative Chart,Technical,BOS,Jeet Singh Thakur,27-Feb-2023 11:43 AM,technical_103774.pdf,1.0,324668.0,Darshan Kumar,20-Feb-2023 06:41 PM,Rejected-Finance,L2,07-Mar-2023,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,Repair work of Type-II Quarter No.50 to 55 in Police Line Chamba (SH Replacement of roofing and painting),Repair work of Type-II Quarter No.50 to 55 in Police Line Chamba (SH Replacement of roofing and painting),Please refer Tender documents. ,NA ,"1,04,885",Civil Works,NA ,Tender,75.0,30.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,ICICI BANK,PWD,No.PWC-WA-17212-311 dated 7.2.2023,2023_PWD_68809_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,100",No,fixed,,Nil,Nil,14-Feb-2023 10:00 AM,25-Feb-2023 11:30 AM,14-Feb-2023 10:00 AM,24-Feb-2023 05:00 PM,NA ,NA ,14-Feb-2023 10:00 AM,24-Feb-2023 05:00 PM,02-Mar-2023 11:30 AM,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,350.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,328714.0,Des Raj,24-Feb-2023 04:04 PM,Rejected-Finance,L4,07-Mar-2023,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,327320.0,DHEERAJ PURI,22-Feb-2023 09:29 PM,Accepted-AOC,Work completed,26-Mar-2024,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,328598.0,RAJESH KUMAR,24-Feb-2023 04:02 PM,Rejected-Finance,L3,07-Mar-2023,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
