Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"1,500",Nil,Nil,No,22-Jul-2023 06:00 PM,01-Aug-2023 11:00 AM,22-Jul-2023 06:00 PM,31-Jul-2023 04:00 PM,NA ,NA ,22-Jul-2023 06:00 PM,31-Jul-2023 04:00 PM,02-Aug-2023 02:00 PM,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form(as per Schedule F 6.3),PWD,SD-I-CTR-Tender-2023- 7699dated 20-07-2023,2023_PWD_76520_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"53,200",No,fixed,,Nil,Nil,Restoration of Rain Damages on Dak Bangla to Gharech road km. 0/00 to 6/700 (SH C/O R/wall at Rd. 5/555 to 5/590).,Restoration of Rain Damages on Dak Bangla to Gharech road km. 0/00 to 6/700 (SH C/O R/wall at Rd. 5/555 to 5/590).,As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,60.0,Gharech,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,1.0,ICICI BANK,1.0,363052.0,ANIL SHANDIL,31-Jul-2023 03:50 PM,Rejected-Finance,5th Lowest,17-Aug-2023,Technical,Bid opening summary,Parveen Kumar Verma,01-Aug-2023 12:31 PM,technical_114409.pdf,1.0,363065.0,MADAN VERMA,INR,"1,914,841",Finance,Bid opening summary,Parveen Kumar Verma,05-Aug-2023 10:56 AM,finance_114409.pdf,BOQ Comparative Chart,PWD,2023_PWD_76520_3,SD-I-CTR-Tender-2023- 7699dated 20-07-2023,Restoration of Rain Damages on Dak Bangla to Gharech road km. 0/00 to 6/700 (SH C/O R/wall at Rd. 5/555 to 5/590).,ErParveenverma,Internal,ShKamalvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,02-Aug-2023 12:32 PM,02-Aug-2023 02:00 PM,techsummary_114409.pdf (712.31 KB),ErParveenverma,Internal,ShKamalvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Parveen Kumar Verma,17-Aug-2023 04:29 PM,finsummary_114409.pdf (715.86 KB),01-Mar-2024,"INR 2,659,501",60.0,Parveen Kumar Verma,01-Mar-2024 04:48 PM,AOC76520_3.pdf (718.00 KB),AOC
,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (As per schedule F 6.5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,363418.0,GIRISH THAKUR,31-Jul-2023 11:31 AM,Rejected-Finance,4th Lowest,17-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,363065.0,MADAN VERMA,31-Jul-2023 11:25 AM,Accepted-AOC,Awarded,01-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,363479.0,Rajesh Sharma,31-Jul-2023 12:52 PM,Rejected-Finance,3rd Lowest,17-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.19 ).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,363318.0,Sanjeev Kumar,30-Jul-2023 03:31 PM,Rejected-Finance,6th Lowest,17-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,363458.0,SUNIL SHARMA,31-Jul-2023 03:43 PM,Rejected-Finance,2nd Lowest,17-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed (Refer General rule No 26.7).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employee Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
