Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,PW-KD-E-Tender/2023-24-4729-33 dtd 26-10-2023,2023_PWD_80935_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"R/R Damages on Shallat Link Road in K.m. 0/00 to 1/300, C/o, R/Wall at R.D. 0/090 to 0/098, 0/124 to 0/140, 0/160 to 0/176, 0/896 to 0/910 and B/Wall at R.D. 0/898 to 0/910, 0/940 to 0/960","R/R Damages on Shallat Link Road in K.m. 0/00 to 1/300, C/o, R/Wall at R.D. 0/090 to 0/098, 0/124 to 0/140, 0/160 to 0/176, 0/896 to 0/910 and B/Wall at R.D. 0/898 to 0/910, 0/940 to 0/960",Please refer Tender documents. ,NA ,"26,15,150",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,Executive Engineer,HPPWD DIVISION KOTKHAI,04-Nov-2023 11:00 AM,10-Nov-2023 11:00 AM,04-Nov-2023 11:00 AM,09-Nov-2023 06:00 PM,NA ,NA ,04-Nov-2023 11:00 AM,09-Nov-2023 06:00 PM,29-Nov-2023 05:30 PM,"1,500",Nil,Nil,No,1.0,ICICI BANK,"52,400",No,fixed,,Nil,Nil,PWD,2023_PWD_80935_5,PW-KD-E-Tender/2023-24-4729-33 dtd 26-10-2023,"R/R Damages on Shallat Link Road in K.m. 0/00 to 1/300, C/o, R/Wall at R.D. 0/090 to 0/098, 0/124 to 0/140, 0/160 to 0/176, 0/896 to 0/910 and B/Wall at R.D. 0/898 to 0/910, 0/940 to 0/960",Executive Engineer,Internal,"XEN, AE Supdt. HDM and Contr.",Akhil Chauhan,29-Nov-2023 05:29 PM,29-Nov-2023 05:30 PM,techsummary_120491.pdf (2845.83 KB),Executive Engineer,Internal,"XEN, AE, Supdt. HDM and Contr.",Akhil Chauhan,04-Dec-2023 01:14 PM,finsummary_120491.pdf (191.28 KB),04-Mar-2024,"INR 2,615,150",45.0,Akhil Chauhan,04-Mar-2024 01:43 PM,1.pdf (613.00 KB),1.0,382708.0,Pankaj Chauhan,INR,"2,705,314",Finance,Summary Uploaded,Akhil Chauhan,04-Dec-2023 01:11 PM,finance_120491.pdf,BOQ Comparative Chart,1.0,382724.0,MAHENDER SHARMA,06-Nov-2023 04:37 PM,Rejected-Finance,L2 BIDDER,04-Dec-2023,Technical,summary uploaded,Akhil Chauhan,29-Nov-2023 05:27 PM,technical_120491.pdf
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,382708.0,Pankaj Chauhan,06-Nov-2023 03:33 PM,Accepted-AOC,LOWEST BIDDER TO AWARDED THE WORK,04-Mar-2024,,,,,
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
