Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"5,000",Nil,Nil,No,"C/o Tehsil Office Building at Nahan, District Sirmaur (H.P.)","C/o Building Portion, W/S and S/I, C/o Septic Tank with Soak Pit, Rain Water Harvesting Tank and Site Development i.e. Site Leveling and Retaining Walls etc.)",As Per Bidding Document ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,365.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,1.0,ICICI BANK,PWD,NAHAN 9331-40,2024_PWD_86314_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,95,600",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,17-Feb-2024 05:00 PM,28-Feb-2024 11:00 AM,17-Feb-2024 05:00 PM,28-Feb-2024 10:00 AM,NA ,NA ,17-Feb-2024 05:00 PM,28-Feb-2024 10:00 AM,29-Feb-2024 04:10 PM,Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,PWD,2024_PWD_86314_1,NAHAN 9331-40,"C/o Tehsil Office Building at Nahan, District Sirmaur (H.P.)",Er. Alok Janveja,Internal,DAO DHD SUPTD,Alok Janveja,29-Feb-2024 04:09 PM,29-Feb-2024 04:10 PM,techsummary_128377.pdf (796.67 KB),Er. Alok Janveja,Internal,DAO DHD SUPTD,Alok Janveja,29-Feb-2024 05:02 PM,finsummary_128377.pdf (450.96 KB),06-Mar-2024,"INR 16,304,872.8",365.0,Alok Janveja,18-Mar-2024 04:19 PM,AOC.pdf (1825.00 KB),AOC,1.0,408019.0,Pratap Singh,26-Feb-2024 01:48 PM,Accepted-AOC,L1,18-Mar-2024,Technical,Technical Summary,Alok Janveja,29-Feb-2024 12:43 PM,technical_128377.pdf,1.0,408019.0,Pratap Singh,INR,"15,310,275",Finance,Financial Evaluation,Alok Janveja,29-Feb-2024 05:00 PM,finance_128377.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,411959.0,RAMNIK THAKUR,27-Feb-2024 09:27 PM,Rejected-Finance,L2,29-Feb-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of existing commitments and on-going works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Profit and Loss Statements and Annual Turnover Report from Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List a/w Documentary Proof of Machinery and Technical Staff as per Schedule-F or Affidavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
