S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,"45,824",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,400.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,Providing multi villages piped water supply scheme for Haroli Constituency in Haroli Block Distt. Una( HP)( SH C/O RCC OHSR 100000 Lts Capacity with 20 Mtr Staging Ht at Village Kuthar Beet ) under flexi fund),Providing multi villages piped water supply scheme for Haroli Constituency in Haroli Block Distt. Una( HP)( SH C/O RCC OHSR 100000 Lts Capacity with 20 Mtr Staging Ht at Village Kuthar Beet ) under flexi fund),as per NIT  ,NA ,"25,54,906",Civil Works,NA ,Tender,120.0,90.0,Kuthar Beet,174301.0,NA ,NA ,NA ,Una HP,No ,No,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,20-Nov-2023 04:00 PM,29-Nov-2023 11:00 AM,20-Nov-2023 04:00 PM,28-Nov-2023 05:00 PM,20-Nov-2023 04:00 PM ,28-Nov-2023 05:00 PM ,20-Nov-2023 04:00 PM,28-Nov-2023 05:00 PM,29-Nov-2023 03:00 PM,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/TA/ E-tender/23- 16534-63 dt 20-11-2023,2023_HPIPH_81634_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,25-Mar-2024,"INR 1,901,171",90.0,Rajesh Kumar Sharma,25-Mar-2024 01:57 PM,Kamlakutharbet.pdf (348.00 KB),AOC,Technical,summary,Puneet Sharma,29-Nov-2023 02:54 PM,technical_121460.pdf,Finance,summary,Puneet Sharma,29-Nov-2023 03:45 PM,finance_121460.pdf,BOQ Comparative Chart,1.0,386247.0,Ankush Dhiman,28-Nov-2023 02:02 PM,Rejected-Finance,Not found L-1,11-Dec-2023,---,Internal,sumary,Puneet Sharma,29-Nov-2023 02:58 PM,29-Nov-2023 03:00 PM,techsummary_121460.pdf (70.96 KB),---,Internal,summary,Puneet Sharma,11-Dec-2023 01:27 PM,finsummary_121460.pdf (70.96 KB),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_81634_1,No. JSV-1/TA/ E-tender/23- 16534-63 dt 20-11-2023,Providing multi villages piped water supply scheme for Haroli Constituency in Haroli Block Distt. Una( HP)( SH C/O RCC OHSR 100000 Lts Capacity with 20 Mtr Staging Ht at Village Kuthar Beet ) under flexi fund),1.0,386179.0,M/s Kamla Contruction,INR,"1,901,171"
2.0,ICICI NEFT/RTGS,,,.pdf,Cost of tender form (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,386179.0,M/s Kamla Contruction,27-Nov-2023 11:05 PM,Accepted-AOC,L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,386089.0,NARESH KUMAR,27-Nov-2023 04:45 PM,Rejected-Finance,Not found L-1,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Copy of GST number along with latest copy of GST return file.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,386321.0,Om Parkash Govt Contrator,28-Nov-2023 03:47 PM,Rejected-Finance,Not found L-1,11-Dec-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"work done certificate, if any",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Undertaking regarding two or more works pending to be executed under Jal Divn No.1 Una,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Latest Income Tax return (ITR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
