Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"2,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,03-Feb-2024 09:00 AM,13-Feb-2024 11:00 AM,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,NA ,NA ,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,22-Feb-2024 11:00 AM,PWD,AMP under HPPWD Sub Div. Hamirpur on Hira Nagar to Hathli Khad Via Main Bazar,2024_PWD_85024_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"80,700",No,fixed,,Nil,Nil,EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Corrigendum,Date,,Annual Maintenance Plan for the Year 2024-25 for Rural roads under HPPWD Sub Div Hamirpur on Hira Nagar to Hathli Khad Via Main Bazar (VR006410101 KM 0/0 to 3/00,SH Providing and laying 25mm thick Bituminous concrete,Please refer Tender documents. ,NA ,"48,80,033",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,2024_PWD_85024_1,AMP under HPPWD Sub Div. Hamirpur on Hira Nagar to Hathli Khad Via Main Bazar,Annual Maintenance Plan for the Year 2024-25 for Rural roads under HPPWD Sub Div Hamirpur on Hira Nagar to Hathli Khad Via Main Bazar (VR006410101 KM 0/0 to 3/00,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,21-Feb-2024 06:25 PM,22-Feb-2024 11:00 AM,techsummary_126511.pdf (1046.19 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,27-Feb-2024 05:29 PM,finsummary_126511.pdf (706.27 KB),11-Mar-2024,"INR 4,357,869",30.0,Deepak Kapil,11-Mar-2024 01:23 PM,123.pdf (135.00 KB),Award,Finance,Attached,Deepak Kapil,27-Feb-2024 05:25 PM,finance_126511.pdf,BOQ Comparative Chart,1.0,404726.0,asha sharma,INR,"4,357,869.29",1.0,404726.0,asha sharma,13-Feb-2024 03:33 AM,Accepted-AOC,l1,11-Mar-2024,Technical,Attached,Deepak Kapil,21-Feb-2024 06:05 PM,technical_126511.pdf
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,404871.0,MOHINDER PAL GOVT. CONTRACTOR,12-Feb-2024 04:55 PM,Rejected-Finance,l3,27-Feb-2024,,,,,
,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,404403.0,MSC Roads and Bridges Private Limited,11-Feb-2024 01:30 PM,Rejected-Finance,l4,27-Feb-2024,,,,,
,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,404123.0,OM PARKASH SHARMA AND SONS,10-Feb-2024 03:29 PM,Rejected-Finance,l2,27-Feb-2024,,,,,
,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,The bidders required to have paver Machine and Hot Mini Plant in the radius of 30km for execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,and having NOC from HP State Pollution Control Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
