Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Finance,Bid opening summary,Ramesh Negi,11-Mar-2024 03:50 PM,finance_129280.pdf,BOQ Comparative Chart,1.0,413722.0,P K Construction Shimla Pvt Ltd,INR,"100,484,683",Technical,Bid opening summary,Parveen Kumar Verma,07-Mar-2024 03:56 PM,technical_129280.pdf,1.0,413840.0,BLN INFRA PVT LTD,03-Mar-2024 01:00 PM,Rejected-Finance,L2,18-Mar-2024,"Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE Shimla Division No.-I, HPPWD, Shimla, Member, EE D 4th Circle, HPPWD, Shimla, Member, AE 4th Circle HPPWD Shimla, Member, Sr DAO, Shimla Division HPPWD Shimla, Member",Deepak Raj Chauhan,18-Mar-2024 04:22 PM,finsummary_129280.pdf (1272.38 KB),18-Mar-2024,"INR 84,103,200",540.0,Deepak Raj Chauhan,18-Mar-2024 04:34 PM,LetterALakhoti.pdf (843.00 KB),L1 Awarded,PWD,2024_PWD_86919_1,19022024.0,Construction and M/T of road from Gallu to Thalot via Nala km 0/00 to 5/615 in District Shimla (HP),"Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE Shimla Division No.-I, HPPWD, Shimla, Member, EE D 4th Circle, HPPWD, Shimla, Member, AE 4th Circle HPPWD Shimla, Member, Sr DAO, Shimla Division HPPWD Shimla, Member",Parveen Kumar Verma,07-Mar-2024 04:16 PM,11-Mar-2024 11:00 AM,techsummary_129280.pdf (376.65 KB),PWD,19022024.0,2024_PWD_86919_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,23-Feb-2024 02:00 PM,04-Mar-2024 03:00 PM,23-Feb-2024 02:00 PM,04-Mar-2024 02:00 PM,NA ,NA ,23-Feb-2024 02:00 PM,04-Mar-2024 02:00 PM,11-Mar-2024 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online) and Earnest Money (Online),"5,000",Nil,Nil,No,Construction and M/T of road from Gallu to Thalot via Nala km 0/00 to 5/615 in District Shimla (HP),"(SH- Formation cutting, passing, R/walls C.D. work, GSB, WBM-II, III, Tarring work Side drain, parapets and CC pavement) (Under NABARD RIDF-XXIX).",AS PER SBD ,NA ,"8,41,03,200",Civil Works - Roads,NA ,Tender,75.0,540.0,SHIMLA DIVISION NO-I,171009.0,NA ,NA ,NA ,"Superintending Engineer, 4th Circle, HPPWD, Shimla",No ,No,"Superintending Engineer, 4th Circle, HPPWD, Shimla","Superintending Engineer, 4th Circle, HPPWD, Shimla","16,82,000",No,fixed,,Nil,Nil
,,,,,,,,,,,,,,,,2.0,413654.0,Jarnail Singh Pannu,04-Mar-2024 12:24 PM,Rejected-Technical,Technically not qualified as per Section 2(ITB)Clause 4.4 A(a)(ii) turnover required is 75 percent of Const. Part of Rs 801.21 lacs so required is Rs 600.91 lacs and Bidders for FY 2021-22 is Rs 295.81 lacs indexed for 2022-23 is Rs 319.47 lacs,07-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,413722.0,P K Construction Shimla Pvt Ltd,02-Mar-2024 06:26 PM,Accepted-AOC,L1 Awarded,18-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Completed and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds EPF certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report as per clause 4.4A(a) of ITB, Section 2 in SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
