Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,Municipal Corporation Shimla,2911dated19122023,2023_MC_83048_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Construction Of Steel Car Parking adjoining to National Highway near Mohan Dhaba ward No 34 Kanlog,Construction Of Steel Car Parking adjoining to National Highway near Mohan Dhaba ward No 34 Kanlog,please refer tender documents ,NA ,"59,19,106",Civil Works,NA ,Tender,120.0,120.0,Shimla,171001.0,NA ,NA ,NA ,MC shimla,No ,No,23-Dec-2023 05:00 PM,08-Jan-2024 02:00 PM,23-Dec-2023 05:00 PM,06-Jan-2024 05:00 PM,NA ,NA ,23-Dec-2023 05:00 PM,06-Jan-2024 05:00 PM,18-Jan-2024 12:25 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,"2,000",Executive Engineer R B M C Shimla,shimla,No,"1,18,400",No,fixed,,Executive Engineer R B M C Shimla,shimla,1.0,DD - Demand Draft,27-Mar-2024,"INR 4,753,476.69",120.0,Rajesh Thakur,27-Mar-2024 02:32 PM,2023_MC_83048_7.pdf (648.00 KB),AOC,Finance,BOS,Dinesh Thakur,18-Jan-2024 12:49 PM,finance_123477.pdf,BOQ Comparative Chart,Technical,BOS,Dinesh Thakur,08-Jan-2024 03:40 PM,technical_123477.pdf,EE,Internal,AO AE,Rajesh Thakur,27-Mar-2024 02:27 PM,finsummary_123477.pdf (318.87 KB),1,395724,Ashu Chauhan,02-Jan-2024 04:54 PM,Rejected-Finance,Rejected,27-Mar-2024,Municipal Corporation Shimla,2023_MC_83048_7,2911dated19122023,Construction Of Steel Car Parking adjoining to National Highway near Mohan Dhaba ward No 34 Kanlog,1.0,396297.0,Devinder Thakur,INR,"4,243,979",EE,Internal,AO AE,Rajesh Thakur,18-Jan-2024 12:24 PM,18-Jan-2024 12:25 PM,techsummary_123477.pdf (727.21 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,2,396294,Bhagat Singh Thakur,05-Jan-2024 07:29 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,396284,BUILDWELL CONSTRUCTION,05-Jan-2024 06:09 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,396225,DALEEP TOMAR,05-Jan-2024 03:42 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,396297,Devinder Thakur,06-Jan-2024 11:38 AM,Accepted-AOC,Accepted,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,396165,Geeta Ram Thakur,05-Jan-2024 11:49 AM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,396157,HARGOVIND RANA,06-Jan-2024 01:33 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,394156,HARMANJOT SINGH,05-Jan-2024 12:06 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,394371,JANARDHAN HAUTA,27-Dec-2023 01:38 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,396356,JEET RAM,06-Jan-2024 02:06 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,396342,Mantu Kumar,06-Jan-2024 12:25 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,396291,M/s AMAN SHARMA,06-Jan-2024 03:58 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,396398,PRAHLAD SING NEGI,06-Jan-2024 02:33 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,396268,PUSHPENDER SHARMA,06-Jan-2024 12:54 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,396248,rajinder verma,05-Jan-2024 03:40 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
