EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"80,000",No,fixed,,Nil,Nil,PWD,8267-8317,2024_PWD_86537_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD Division Shahpur,1.0,ICICI BANK,Annual maintenance plan for Shahpur Sub Division for Year 2024-2025 For Manai Bharooplahar karnola road (HP0413VR0120),"Providing and Laying Mix Seal surfacing in Km 0/00 to 1/000, 1/000 to 2/000, 2/000 to 3/000 and 3/000 to 3/700",Please refer to tender doucments ,NA ,"40,47,911",Civil Works - Roads,NA ,Tender,75.0,60.0,Shahpur,176206.0,NA ,NA ,NA ,EE Shahpur,No ,No,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of tender Cost,21-Feb-2024 10:00 AM,28-Feb-2024 11:30 AM,21-Feb-2024 10:00 AM,28-Feb-2024 11:00 AM,NA ,NA ,21-Feb-2024 10:30 AM,28-Feb-2024 11:00 AM,04-Mar-2024 11:00 AM,1.0,411937.0,Rakesh Mahajan Govt Contractor,INR,"3,068,317",Finance,"Supdt G-II, CHD/HDM AE Gaggal, AE Shahpur AE Darini Executive Engineer",Ankaj Sood,13-Mar-2024 12:13 PM,finance_128714.pdf,BOQ Comparative Chart,1.0,409750.0,36jk builders and contractors,27-Feb-2024 04:12 PM,Rejected-Finance,due to highest rate,15-Mar-2024,Technical,"Executive Engineer, AE Gaggal, AE Shahpur, AE Darini CHD/HDM, Supdt G-II,",Ankaj Sood,01-Mar-2024 02:48 PM,technical_128714.pdf,Executive Engineer,Internal,Supdt.G-II AE Gaggal AE Shahpur AE Darini CHD/HDM,Ankaj Sood,04-Mar-2024 10:19 AM,04-Mar-2024 11:00 AM,techsummary_128714.pdf (412.25 KB),PWD,2024_PWD_86537_1,8267-8317,Annual maintenance plan for Shahpur Sub Division for Year 2024-2025 For Manai Bharooplahar karnola road (HP0413VR0120),15-Mar-2024,"INR 4,047,911.62",60.0,Ankaj Sood,19-Jul-2024 05:04 PM,awardletter.pdf (2065.00 KB),Executive Engineer,Internal,"Supdt G-II, CHD/HDM, AE Gaggal, AE Darini, AE Shahpur",Ankaj Sood,15-Mar-2024 12:26 PM,finsummary_128714.pdf (83.11 KB)
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Receipt of Earnest Money,,,,,,,,,,,,,,,,,,,,,2.0,411507.0,Pritam Singh Thakur,27-Feb-2024 04:17 PM,Rejected-Finance,due to highest rate,15-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,3.0,411917.0,rajat thakur govt contractor,27-Feb-2024 07:49 PM,Rejected-Finance,due to highest rate,15-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,4.0,411937.0,Rakesh Mahajan Govt Contractor,27-Feb-2024 06:54 PM,Accepted-AOC,lowest rate,19-Jul-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,5.0,408897.0,Yashpal,28-Feb-2024 09:49 AM,Rejected-Finance,due to highest rate,15-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
