EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"8,58,300",No,fixed,,EE Sundernagar,Sundernagar,Construction of Govt. Senior Secondary School building at Taleli Distt. Mandi (HP),SH C/o building portion with WS and SI Septic Tank and RWH System,As per bid document ,NA ,"4,29,14,905",Civil Works,Building ,Tender,75.0,540.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,1.0,ICICI BANK,PWD,PW-SNR-CB-E-Ten/Giriraj- 2nd Call/22-4588-98 dt.16,2022_PWD_61985_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,22-Jun-2022 06:00 PM,30-Jun-2022 11:30 AM,22-Jun-2022 06:00 PM,29-Jun-2022 06:00 PM,NA ,NA ,22-Jun-2022 06:00 PM,29-Jun-2022 06:00 PM,02-Jul-2022 02:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,Executive Engineer HPPWD Division Sunder Nagar,O/O Executive Engineer HPPWD Division Sunder Nagar,"5,000",EE Sundernagar,Sundernagar,No,PWD,2022_PWD_61985_1,PW-SNR-CB-E-Ten/Giriraj- 2nd Call/22-4588-98 dt.16,Construction of Govt. Senior Secondary School building at Taleli Distt. Mandi (HP),Er. D.R. Chauhan Executive Engineer,Internal,Er. Y.S. Chandel AE Suket Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Rattan Lal Supdt (Accounts),Chaman Singh,01-Jul-2022 04:03 PM,02-Jul-2022 02:15 PM,techsummary_93532.pdf (822.08 KB),Chief Engineer (MZ),Internal,"Superintending Engineer (D) MZ, S.E. 1st Circle Mandi, Executive Engineer (D) MZ, Executive Engineer Sundernagar, Planning Officer (Buiding) MZ",Chaman Singh,20-Mar-2024 02:13 PM,finsummary_93532.pdf (1974.85 KB),20-Mar-2024,"INR 45,039,186",540.0,Chaman Singh,20-Mar-2024 02:17 PM,AOCTaleliSchool.pdf (1975.00 KB),AOC,1.0,288869.0,SHIV RAM,28-Jun-2022 10:18 AM,Accepted-AOC,Being responsive,20-Mar-2024,Technical,BOS,Chaman Singh,01-Jul-2022 03:59 PM,technical_93532.pdf,1.0,288869.0,SHIV RAM,INR,"45,039,186",Finance,FBOS,Hitesh Sharma,23-Jul-2022 12:10 PM,,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done / in hand / Bidding Capacity as per general rules No. 16 and 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
