Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
EE Hamirpur,Executive Engineer HPPWD Hamirpur,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,C/O link road from Kuhar to Baldook km 0/0 to 3/300,2024_PWD_85019_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Corrigendum,Date,,1.0,ICICI BANK,"15,600",No,fixed,,Nil,Nil,C/O link road from Kuhar to Baldook km 0/0 to 3/300,SH Preparation of Sub Grade and premix carpet in km 2/100 to 2/800,Please refer Tender documents. ,NA ,"7,78,849",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,350.0,Nil,Nil,Yes,03-Feb-2024 09:00 AM,13-Feb-2024 11:00 AM,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,NA ,NA ,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,26-Feb-2024 11:00 AM,PWD,2024_PWD_85019_1,C/O link road from Kuhar to Baldook km 0/0 to 3/300,C/O link road from Kuhar to Baldook km 0/0 to 3/300,EE Hamirpur,Internal,SupdtHDMSrDaoAEtoEE,Deepak Kapil,24-Feb-2024 09:42 PM,26-Feb-2024 11:00 AM,techsummary_126506.pdf (995.32 KB),EE Hamirpur,Internal,attached,Deepak Kapil,16-Mar-2024 05:02 PM,finsummary_126506.pdf (792.54 KB),16-Mar-2024,"INR 815,845",30.0,Deepak Kapil,16-Mar-2024 05:08 PM,AwardBaldoohakTarring.pdf (588.00 KB),AWARD,Finance,Attached,Deepak Kapil,16-Mar-2024 04:53 PM,finance_126506.pdf,BOQ Comparative Chart,1.0,403064.0,Ashok Kumar,INR,"815,844.62",1.0,403064.0,Ashok Kumar,06-Feb-2024 11:33 PM,Accepted-AOC,L1,16-Mar-2024,Technical,Attached,Deepak Kapil,24-Feb-2024 01:32 PM,technical_126506.pdf
,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,403061.0,Mukesh,06-Feb-2024 11:16 PM,Rejected-Finance,l2,16-Mar-2024,,,,,
,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
