Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",HPSEBL/TCD/DB-7/87.,2024_HPSEB_86471_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,Renovation of Toilet in the office of S.E Power House ( Elect) 3RD Floor HPSEBL Sunder Nagar,Renovation of Toilet in the office of S.E Power House ( Elect) 3RD Floor HPSEBL Sunder Nagar,Please refer Tender documents. ,NA ,"2,80,557",Civil Works - Buildings,REPAIR WORK ,Tender,180.0,30.0,SUNDERNAGAR,175019.0,NA ,NA ,NA ,TCD PANDOH,No ,No,590.0,Nil,Nil,No,SR. XEN TCD HPSEBL PANDOH,SR. XEN TCD HPSEBL PANDOH,1.0,ICICI BANK,"6,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COPY OF PAN,19-Feb-2024 05:30 PM,02-Mar-2024 02:00 PM,19-Feb-2024 05:30 PM,02-Mar-2024 12:00 PM,NA ,NA ,19-Feb-2024 05:30 PM,02-Mar-2024 12:00 PM,04-Mar-2024 10:00 AM,1.0,time extension of tender,Date,,Xen Rakesh kumar,Internal,"AE Som Krishan, aE Rajkumar Sharma",som krishan,04-Mar-2024 01:12 PM,finsummary_128613.pdf (384.48 KB),"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",2024_HPSEB_86471_1,HPSEBL/TCD/DB-7/87.,Renovation of Toilet in the office of S.E Power House ( Elect) 3RD Floor HPSEBL Sunder Nagar,1.0,413579.0,NAVEEN CONTRACTOR,INR,"277,716.56",rakeshkumar,Internal,"aesomkrishan,aerajkumar",Raj Kumar,02-Mar-2024 05:25 PM,04-Mar-2024 10:00 AM,techsummary_128613.pdf (731.31 KB),1.0,410793.0,DIMPAL,26-Feb-2024 12:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,02-Mar-2024,04-Mar-2024,"INR 277,717",30.0,som krishan,04-Mar-2024 01:46 PM,Awardtoilet.pdf (478.00 KB),Award letter,Finance,financial summary,som krishan,04-Mar-2024 12:56 PM,finance_128613.pdf,BOQ Comparative Chart,Technical,summary,Raj Kumar,02-Mar-2024 05:20 PM,technical_128613.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,COPY OF AADHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,413579.0,NAVEEN CONTRACTOR,02-Mar-2024 11:13 AM,Accepted-AOC,L1,04-Mar-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,413610.0,PARDEEP KUMAR,02-Mar-2024 11:48 AM,Rejected-AOC,L3,04-Mar-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX RETURN OF LAST THREE YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,413564.0,RAJ KUMAR,02-Mar-2024 11:34 AM,Rejected-AOC,L2,04-Mar-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF NON BLACKLISTING CERTIFICATE ON NON JUDICIAL STAMP PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF WORKDONE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX CLEARANCE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
