Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,Fee/PreQual/Technical,.pdf,Proof of EMD and Tender Fee,1.0,ICICI BANK,1.0,Addendum-IX,Date,,"1,120",Nil,Nil,No,21-Nov-2023 12:30 PM,02-Feb-2024 11:00 AM,21-Nov-2023 12:30 PM,01-Feb-2024 11:00 AM,NA ,NA ,21-Nov-2023 12:30 PM,01-Feb-2024 11:00 AM,09-Feb-2024 02:20 PM,"Deputy Chief Engineer (Op) Circle HPSEBL, Bilaspur","Deputy Chief Engineer (Op) Circle HPSEBL, Bilaspur",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,NIT-11/2023-24,2023_HPSEB_81545_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"53,475",No,fixed,,Nil,Nil,Tender for the work Providing SOP to LWSS in Gram Panchayat Seri Kothi and Gram Panchayat Batwara in Tehsil Sunder Nagar under ESD HPSEBL Slapper NIT-11/2023-24,Tender for the work Providing SOP to LWSS in Gram Panchayat Seri Kothi and Gram Panchayat Batwara in Tehsil Sunder Nagar under ESD HPSEBL Slapper NIT-11/2023-24,Please refer Tender documents. ,NA ,"53,47,504",Electrical Works,NA ,Tender,180.0,90.0,Sundernagar,175018.0,NA ,NA ,NA ,Bilaspur,No ,No,Er.Ashish Kapoor,Internal,"Er.Ashish Kapoor,Er.Arun Sharma,Er.Tej Singh Chauhan, Er.Mohit Tondon,Er.Manish Sandhu,Sh. Mohammad shahid",Pankaj Sharma,09-Feb-2024 01:30 PM,09-Feb-2024 02:20 PM,techsummary_121505.pdf (193.35 KB),1.0,385752.0,M/S BHARDWAJ ELECTRICAL CO.,24-Nov-2023 08:06 AM,Accepted-AOC,Found L1 bidder,14-Mar-2024,13-Mar-2024,"INR 5,347,504",90.0,Pankaj Sharma,14-Mar-2024 11:52 AM,Awardnit11.pdf (1320.00 KB),Awardnit11,Finance,Financial bid opening Summary,Pankaj Sharma,09-Feb-2024 04:21 PM,finance_121505.pdf,BOQ Comparative Chart,Technical,Summary NIT-11/2023-24,Pankaj Sharma,02-Feb-2024 04:34 PM,technical_121505.pdf,Er. Ashish Kapoor,Internal,"Er.Ashish Kapoor,Er.Arun Sharma,Er.Tej Singh Chauhan, Er.Mohit Tondon,Er. Manish Sandhu,Sh.Mohammad Shahid",Pankaj Sharma,09-Feb-2024 04:27 PM,finsummary_121505.pdf (1367.64 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,2023_HPSEB_81545_2,NIT-11/2023-24,Tender for the work Providing SOP to LWSS in Gram Panchayat Seri Kothi and Gram Panchayat Batwara in Tehsil Sunder Nagar under ESD HPSEBL Slapper NIT-11/2023-24,1.0,385752.0,M/S BHARDWAJ ELECTRICAL CO.,INR,"5,240,019"
,,.pdf,No Technical No commercial deviation No Litigation Certificate pert chart,2.0,ICICI NEFT/RTGS,2.0,Corrigendum2,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Bid may be submitted by individual or joint venture firm A class License from Chief E Inspector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,annual turnover of previous 3 FY and Net worth for each of the last 3 FY certified by CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Bidder have liquid assets evidence to the availability of funds equivalent to 10 percent of nit cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,bid capacity detail bid validity list of plant and machinery list of staff performance certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Bidder should have PAN GST EPF Income Tex Employee Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,Bidder shall declear on non judicial paper that he is not blacklisted power of attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,.pdf,No change of ownership upto 2 years after completion of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
