S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
1.0,410391.0,S.S.Chauhans Construction Private Limted,INR,"76,842,562",Finance,SUMMARYATTACHED,Vinod Kanwar,18-Mar-2024 03:11 PM,finance_129048.pdf,BOQ Comparative Chart,Technical,SUMMARYATTACHED,Krishan Bhardwaj,03-Mar-2024 01:16 PM,technical_129048.pdf,1.0,411508.0,DEEPAK JOSHI,27-Feb-2024 02:19 PM,Rejected-Finance,L2,18-Mar-2024,18-Mar-2024,"INR 76,842,562",365.0,Vinod Kanwar,18-Mar-2024 03:26 PM,86755AWARD1.pdf (1407.00 KB),work awarded to contractor vide this office letter No. 17122-29 dated 13.03.2024,EXECUTIVEENGINEER,Internal,TA SUPDT HDM DAO AE,Vinod Kanwar,18-Mar-2024 03:20 PM,finsummary_129048.pdf (493.03 KB),EXECUTIVEENGINEER,Internal,TA SUPDT HDM DAO AE,Krishan Bhardwaj,03-Mar-2024 01:18 PM,04-Mar-2024 11:30 AM,techsummary_129048.pdf (1211.62 KB),PWD,2024_PWD_86755_1,NIT NO. 14325-44 DT. 07.02.2024,Upgradation of Patta Awahdevi road km 0-0 to 10-0 (SH Removal of formation deficiency R-Wall Gobinos wall M-T works interlocking tiles PCC U and V shape drain cross drainage Soild causeway and road furniture,Upgradation of Patta Awahdevi road km 0-0 to 10-0 (SH Removal of formation deficiency R-Wall Gobinos wall M-T works interlocking tiles PCC U and V shape drain cross drainage Soild causeway and road furniture,Upgradation of Patta Awahdevi road km 0-0 to 10-0 (SH Removal of formation deficiency R-Wall Gobinos wall M-T works interlocking tiles PCC U and V shape drain cross drainage Soild causeway and road furniture,Please refer Tender documents. ,NA ,"7,53,35,844",Civil Works - Roads,NA ,Tender,75.0,365.0,BHORANJ,176045.0,NA ,NA ,NA ,BHORANJ,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment (indicated in Sche,"15,07,000",No,fixed,,Nil,Nil,22-Feb-2024 11:25 AM,28-Feb-2024 11:00 AM,22-Feb-2024 11:30 AM,27-Feb-2024 05:00 PM,NA ,NA ,22-Feb-2024 11:35 AM,27-Feb-2024 05:00 PM,04-Mar-2024 11:30 AM,PWD,NIT NO. 14325-44 DT. 07.02.2024,2024_PWD_86755_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVEENGINEER,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj","5,000",Nil,Nil,No
,,,,,,,,,,,,,,,,2.0,410391.0,S.S.Chauhans Construction Private Limted,27-Feb-2024 03:41 PM,Accepted-AOC,work awarded,18-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration (General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TAX CLEARANCE CERTIFICATE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year duly signed by Engineer-in-Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of Machinery as per SBD with proof RC, Affidavit/ lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No. 8 in SBD duly signed by the bidder and witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate C/S by Engineer-in-Charge as per General Rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contractor should not more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
