Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,S.No.2,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.3,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
"5,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender and earnest money indicate in Schedule F General Rule NO. 24.1,12-Dec-2023 01:10 PM,18-Dec-2023 04:00 PM,12-Dec-2023 01:10 PM,18-Dec-2023 03:00 PM,NA ,NA ,12-Dec-2023 01:10 PM,18-Dec-2023 03:00 PM,30-Jan-2024 12:00 PM,Metalling /Tarring of Samlech to Chilla road km 0/0 to 3/700 in District Solan (HP),"Formation cutting, passing places, R/wall, CD work, GSB, WBM-II, WBM-III, Tarring work, side drain, parapets paver block and etc.) under NABARD-RIFD-XXIX",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,548.0,Solan,173212.0,NA ,NA ,NA ,Solan B and R division,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,correction of unit in BOQ,Other,,Executive Engineer B and R Division HPPWD Solan,near new bus stand Solan,PWD,No.11322-29 dated 30.11.2023,2023_PWD_82543_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"9,91,000",No,fixed,,Nil,Nil,1.0,392010.0,Vinay Thakur,INR,"42,045,645",Finance,financial bid opening,Ravi Bhatti,31-Jan-2024 02:41 PM,finance_122753.pdf,BOQ Comparative Chart,1.0,391155.0,Mohan lal Thakur,18-Dec-2023 01:35 PM,Rejected-Finance,L-2,31-Jan-2024,Technical,bid opening summary,Ravi Bhatti,19-Dec-2023 11:00 AM,technical_122753.pdf,PWD,2023_PWD_82543_1,No.11322-29 dated 30.11.2023,Metalling /Tarring of Samlech to Chilla road km 0/0 to 3/700 in District Solan (HP),Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Deepak Walia Superintendent PMGSY,Ravi Bhatti,30-Jan-2024 11:27 AM,30-Jan-2024 12:00 PM,techsummary_122753.pdf (285.45 KB),Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Deepak Walia Superintendent PMGSY,Ravi Bhatti,31-Jan-2024 02:43 PM,finsummary_122753.pdf (17.05 KB),07-Mar-2024,"INR 42,045,645",548.0,Ravi Bhatti,14-Mar-2024 02:35 PM,Doc.pdf (487.00 KB),award of contract
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,2. Contractors registration refers general rules and directions No 24.3 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,391865.0,Rajesh Sahni,16-Dec-2023 08:15 PM,Rejected-Technical,contractor has uploaded an invoice of Pvt. ltd instead of work done,30-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,3. GST registration refers general rules and Directions no 24.4 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,392010.0,Vinay Thakur,17-Dec-2023 03:50 PM,Accepted-AOC,award of contract,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,4. Work done certificate and work in hand certificate refer in general rules No 24.5 schedule F Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,"5. List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Existing Commitments ,Existing Commitments Details ,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,6. Affidavits of correctness of all the documents are submitted is true by the Contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,9. Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,10. Work done condition one similar nature of work not less than 40 percent of the estimated cost as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,12. Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload PDF documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
