S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
1.0,413946.0,Sourabh Pathania Govt Contractor,INR,"18,533,694.63",Finance,Attached,Deepak Kapil,20-Mar-2024 05:28 PM,finance_129634.pdf,BOQ Comparative Chart,Technical,Attached,Deepak Kapil,04-Mar-2024 06:49 PM,technical_129634.pdf,1.0,413779.0,HIMALAYAN TECHNO GOVT CONTRACTOR,03-Mar-2024 01:56 PM,Rejected-Finance,l2,20-Mar-2024,20-Mar-2024,"INR 18,533,695",270.0,Deepak Kapil,20-Mar-2024 05:43 PM,12345Award.pdf (926.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,20-Mar-2024 05:31 PM,finsummary_129634.pdf (780.55 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,12-Mar-2024 01:49 PM,13-Mar-2024 11:00 AM,techsummary_129634.pdf (5967.28 KB),PWD,2024_PWD_87198_1,C/O Town Bharari Nandhan Plasi Bagetu Mair road Km. 0/0 to 4/020,C/O Town Bharari Nandhan Plasi Bagetu Mair road Km. 0/0 to 4/020,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,C/O Town Bharari Nandhan Plasi Bagetu Mair road Km. 0/0 to 4/020,"SH C/O 5/7 metre wide road formation cutting, hume pipe culverts R/Wall B/Wall V-Shape drain Parapets, Metalling/Tarring Sign board and road marking etc 0/0 to 2/500",Please refer Tender documents. ,NA ,"1,77,36,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,"3,89,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"5,000",Nil,Nil,No,Executive Engineer,Executive Engineer HPPWD Hamirpur,27-Feb-2024 09:00 AM,04-Mar-2024 11:00 AM,27-Feb-2024 09:00 AM,04-Mar-2024 10:30 AM,NA ,NA ,27-Feb-2024 09:00 AM,04-Mar-2024 10:30 AM,13-Mar-2024 11:00 AM,PWD,C/O Town Bharari Nandhan Plasi Bagetu Mair road Km. 0/0 to 4/020,2024_PWD_87198_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,2.0,411837.0,KASMIR SINGH CONTACTOR,04-Mar-2024 09:34 AM,Rejected-Technical,Rejected,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,413946.0,Sourabh Pathania Govt Contractor,03-Mar-2024 12:14 PM,Accepted-AOC,l1,20-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration and statement latest Clearance Statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turn Over of last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
