Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
Industries Department||Directorate of Industries||Store Puchase Orgn,No.Ind.SP /F(NIT)148/94-Vol-II-6/10/2023,2023_HPInd_80291_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,16-Oct-2023 05:00 PM,06-Nov-2023 11:00 AM,16-Oct-2023 05:00 PM,06-Nov-2023 10:30 AM,NA ,NA ,16-Oct-2023 05:00 PM,06-Nov-2023 10:30 AM,02-Dec-2023 12:30 PM,"5,00,000",Yes,fixed,,Nil,Nil,500.0,Nil,Nil,Yes,1.0,ICICI BANK,C-33 (Supply of H.D.P.E. Pipes (ISI Marked)),Annual Rate Contract for the supply of H.D.P.E. Pipes (ISI Marked),Please refer Tender documents. ,NA ,"6,02,64,595",Miscellaneous Goods,NA ,Rate Contract,120.0,365.0,"Directorate of Industries , Shimla",171002.0,NA ,NA ,NA ,"Directorate of Industries , Shimla",No ,No,1.0,Fee/PreQual/Technical,.pdf,All Required documents as per Terms and Conditions of tender.,Director of Industries,"Directorate of Industries , Majitha House, Shimla , HP",Addtional Controller of Stores.,Internal,Guru lal Negi (DDI) Dhian Singh (Superintendent Gr-I SP) Shakuntla Sharma (SO FA),Dhian Singh,21-Mar-2024 03:48 PM,finsummary_119569.pdf (14849.36 KB),1.0,379519.0,HIMALYAN PIPE INDUSTREIS,INR,"6,696,066.1111",Industries Department||Directorate of Industries||Store Puchase Orgn,2023_HPInd_80291_1,No.Ind.SP /F(NIT)148/94-Vol-II-6/10/2023,C-33 (Supply of H.D.P.E. Pipes (ISI Marked)),1,380762,Aishwaryam Polypipes LLP,01-Nov-2023 01:29 PM,Rejected-Finance,"Rejected, the firm not emerged L1",21-Mar-2024,Additional Controller of Stores,Internal,Anil Thakur (DDI) Vinod Negi (A.E JSV) Dev Dutt (Superintendent G-II SPO),Anil Thakur,02-Dec-2023 11:29 AM,02-Dec-2023 12:30 PM,techsummary_119569.pdf (1567.34 KB),Technical,Tender Opening Summary.,Anil Thakur,02-Dec-2023 10:53 AM,technical_119569.pdf,Finance,Finance Bid Opening Summary.,Anil Thakur,21-Mar-2024 03:24 PM,finance_119569.pdf,BOQ Comparative Chart,21-Mar-2024,"INR 60,264,595",365.0,Dhian Singh,21-Mar-2024 03:53 PM,Rate-Contract-C-33-2024_000062.pdf (10859.00 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule.,,,,,,,,,2.0,379609.0,HIMALYAN PLASTICS LTD.,INR,"6,696,066.1111",,,,,2,381754,ASHISH PIPES,05-Nov-2023 03:24 PM,Accepted-AOC,Accepted,21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,379696.0,Manjushree Plastics pvt ltd,INR,"6,696,066.1111",,,,,3,381303,Bajrang Plastic Industries,03-Nov-2023 07:44 PM,Accepted-AOC,Accepted,21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,381303.0,Bajrang Plastic Industries,INR,"6,696,066.1111",,,,,4,382030,Bestwell Polytube Industry Pvt. Ltd,04-Nov-2023 01:38 PM,Rejected-Finance,"Rejected, the firm not emerged L1",21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,381647.0,VEER VISIONS PRIVATE LIMITED,INR,"6,696,066.1111",,,,,5,382409,HARVEL AGUA INDIA PRIVATE LIMITED,04-Nov-2023 06:55 PM,Rejected-Finance,"Rejected, the firm not emerged L1",21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,381754.0,ASHISH PIPES,INR,"6,696,066.1111",,,,,6,379519,HIMALYAN PIPE INDUSTREIS,03-Nov-2023 11:29 AM,Accepted-AOC,Accepted,21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,382271.0,HIM WELL INDUSTRIES,INR,"6,696,066.1111",,,,,7,379609,HIMALYAN PLASTICS LTD.,03-Nov-2023 11:41 AM,Accepted-AOC,Accepted,21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,382309.0,ROCKWELL INDUSTRIES,INR,"6,696,066.1111",,,,,8,382271,HIM WELL INDUSTRIES,03-Nov-2023 05:33 PM,Accepted-AOC,Accepted,21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,382491.0,WESTWELL POLYTUBES,INR,"6,696,066.1111",,,,,9,379696,Manjushree Plastics pvt ltd,03-Nov-2023 03:52 PM,Accepted-AOC,Accepted,21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,380087,RATHI POLYPLAST PRIVATE LIMITED,04-Nov-2023 06:17 PM,Rejected-Finance,"Rejected, the firm not emerged L1",21-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,
