Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :
05-Feb-2024 10:00 AM,13-Feb-2024 11:30 AM,05-Feb-2024 10:00 AM,12-Feb-2024 03:30 PM,NA ,NA ,05-Feb-2024 10:00 AM,12-Feb-2024 03:30 PM,"6,674",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Copy of tender Fee and EMD submission,Annual Maintenance Contract,"Non Comprehensive AMC of Communication system, CCTV surveillance, Remote control and data acquisition of intake gates.",Please refer Tender documents. ,NA ,"6,67,408",Repair and Maintenance Services,NA ,Tender,90.0,365.0,Uhl stage-III HEP Chullah,175015.0,NA ,NA ,NA ,Chullah,No ,No,Senior Executive Engineer,PnM Electrical Division Uhl stage III BVPCL Chullah,560.0,Nil,Nil,No,1.0,ICICI BANK,HPSEBL||MD BVPCL Jogindernagar||SE (E)||P and M Div.,BVPCL/PnM(E)Div/03/2023-24,2024_HPSEB_85089_1,Yes,Single,Percentage,Services,1.0,No,No,Online,No,No,No,Finance,Techno commercial bid opened successfully.,Shaleshwar Rana,15-Mar-2024 11:24 AM,,BOQ Comparative Chart,Senior Executive Engineer,Internal,Assistant Engineer PnM BVPCL Divisional Accountant Bassi Power House HPSEBL Junior Engineer PnM BVPCL,Shaleshwar Rana,15-Mar-2024 11:35 AM,finsummary_126635.pdf (699.61 KB),1.0,404645.0,Interface Devices & Services,INR,"648,519",HPSEBL||MD BVPCL Jogindernagar||SE (E)||P and M Div.,2024_HPSEB_85089_1,BVPCL/PnM(E)Div/03/2023-24,Annual Maintenance Contract,1.0,404645.0,Interface Devices & Services,12-Feb-2024 01:42 PM,Accepted-AOC,Awarded,15-Mar-2024,Senior Executive Engineer,Internal,"Assistant Engineer, PnM BVPCl Divisional Accountant Bassi Power House HPSEBL Junior Engineer PnM BVPCL",Shaleshwar Rana,15-Mar-2024 11:31 AM,techsummary_126635.pdf (2454.02 KB),15-Mar-2024,"INR 648,519",365.0,Shaleshwar Rana,15-Mar-2024 11:40 AM,award.pdf (2454.00 KB)
,,,,,,,,,,,,,,,,.pdf,Signed copy of bid submission form,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Copy of PAN and GST number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Scanned copy of authorizing the signatory to commit the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Copy of OEM/OES Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Declaration as per clause no. 16.1 A (vii) Section-I of bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Copy of ITR for last three financial years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Annual turn over for last three years certified by Charted Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.pdf,Any other document required in the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
