Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
22-Sep-2023 10:00 AM,02-Oct-2023 03:00 PM,22-Sep-2023 10:00 AM,30-Sep-2023 05:00 PM,NA ,NA ,22-Sep-2023 10:00 AM,30-Sep-2023 05:00 PM,09-Oct-2023 10:55 AM,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,1.0,DD - Demand Draft,Restoration of rain damages (SH Construction of Damaged Retaining wall in the road from Boileauganj Chowk to Summerhill) ward No 5,Restoration of rain damages (SH Construction of Damaged Retaining wall in the road from Boileauganj Chowk to Summerhill) ward No 5,Please refer Tender Documents ,NA ,"19,41,800",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,1.0,Due Date Extended,Admin Corrigendum Date Extend,,Municipal Corporation Shimla,1885Dated14092023,2023_MC_79187_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer R B M C Shimla,Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,"39,000",No,fixed,,Executive Engineer R B M C Shimla,Shimla,27-Mar-2024,"INR 1,218,739.5",60.0,Rajesh Thakur,27-Mar-2024 12:32 PM,2023_MC_79187_4.pdf (608.00 KB),AOC,Finance,BOS,Dinesh Thakur,09-Oct-2023 12:30 PM,finance_118022.pdf,BOQ Comparative Chart,Technical,BOS,Dinesh Thakur,03-Oct-2023 03:23 PM,technical_118022.pdf,EE,Internal,AO AE,Rajesh Thakur,27-Mar-2024 12:30 PM,finsummary_118022.pdf (318.87 KB),1,374135,ANIL THAPA,25-Sep-2023 05:30 PM,Rejected-Finance,Rejected,27-Mar-2024,Municipal Corporation Shimla,2023_MC_79187_4,1885Dated14092023,Restoration of rain damages (SH Construction of Damaged Retaining wall in the road from Boileauganj Chowk to Summerhill) ward No 5,1.0,374785.0,narinder kumar,INR,"1,218,739",EE,Internal,AO AE,Rajesh Thakur,09-Oct-2023 10:52 AM,09-Oct-2023 10:55 AM,techsummary_118022.pdf (1953.69 KB)
,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,374474,BILAL AHMED BUTT,27-Sep-2023 09:47 AM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,374631,Dalip Singh,27-Sep-2023 05:13 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,374559,Hari Krishan Sharma,27-Sep-2023 01:45 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,374584,KRISHAN KUMAR SHARMA,27-Sep-2023 02:48 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,374654,LALIT KUMAR,27-Sep-2023 06:13 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,374844,MANTU KUMAR GUPTA,28-Sep-2023 01:30 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,374664,Mohinder Sharma,27-Sep-2023 06:57 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,374785,narinder kumar,30-Sep-2023 03:51 PM,Accepted-AOC,Accepted,27-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,374653,Parmod Kumar Sharma,28-Sep-2023 12:18 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,
