S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
1.0,DD - Demand Draft,21-Feb-2024 05:00 PM,28-Feb-2024 02:00 PM,21-Feb-2024 05:00 PM,27-Feb-2024 05:00 PM,NA ,NA ,21-Feb-2024 05:00 PM,27-Feb-2024 05:00 PM,12-Mar-2024 10:40 AM,"5,000",Executive Engineer R B M C Shimla,MC,No,Municipal Corporation Shimla,614dated20022024,2024_MC_86635_19,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,Widening of existing MC road from Primary School Malyana near Shiv Mandir to Tribunal Parking Rd 0 00 to 0 360 Phase I ward No 25,Widening of existing MC road from Primary School Malyana near Shiv Mandir to Tribunal Parking Rd 0 00 to 0 360 Phase I ward No 25,Please refer tender documents ,NA ,"1,09,85,264",Civil Works,NA ,Tender,120.0,180.0,Shimla,171001.0,NA ,NA ,NA ,MC shimla,No ,No,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,"2,19,800",No,fixed,,Executive Engineer R B M C Shimla,MC,1.0,410958.0,Geeta Ram Thakur,INR,"10,515,474",Finance,BOS,Rajesh Thakur,12-Mar-2024 12:06 PM,finance_128873.pdf,BOQ Comparative Chart,1,410861,DALEEP TOMAR,27-Feb-2024 03:49 PM,Rejected-Technical,Rejected,12-Mar-2024,Technical,BOS,Dhiraj Kumar,28-Feb-2024 04:31 PM,technical_128873.pdf,Municipal Corporation Shimla,2024_MC_86635_19,614dated20022024,Widening of existing MC road from Primary School Malyana near Shiv Mandir to Tribunal Parking Rd 0 00 to 0 360 Phase I ward No 25,EE,Internal,PD AO,Rajesh Thakur,12-Mar-2024 10:38 AM,12-Mar-2024 10:40 AM,techsummary_128873.pdf (1260.87 KB),EE,Internal,PD AO,Rajesh Thakur,27-Mar-2024 03:31 PM,finsummary_128873.pdf (318.87 KB),27-Mar-2024,"INR 10,559,968.1",180.0,Rajesh Thakur,27-Mar-2024 03:34 PM,2024_MC_86635_19.pdf (708.00 KB),AOC
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,411782,DINESH,27-Feb-2024 03:29 PM,Rejected-Technical,Rejected,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,410958,Geeta Ram Thakur,26-Feb-2024 02:13 PM,Accepted-AOC,Accepted,27-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,411794,HARGOVIND RANA,27-Feb-2024 03:35 PM,Rejected-Technical,Rejected,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,411665,Pankaj Thakur,27-Feb-2024 03:46 PM,Rejected-Technical,Rejected,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,411838,Pushpender Sharma,27-Feb-2024 04:44 PM,Rejected-Technical,Rejected,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,411741,RAJESH SHARMA,27-Feb-2024 03:05 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,411788,SATISH KUMAR JAGTA,27-Feb-2024 03:40 PM,Rejected-Finance,Rejected,27-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,411834,SHEEL CONSTRUCTION AND ENTERPRISES,27-Feb-2024 04:36 PM,Rejected-Technical,Rejected,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,411637,Sohan Singh,27-Feb-2024 01:56 PM,Rejected-Technical,Rejected,12-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
