Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.3,Category,Sub Category,Sub Category Description,Format/File,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name,S.No.2,Corrigendum Title,Corrigendum Type,View
11-Mar-2024,"INR 53,763,620",548.0,Ravi Bhatti,14-Mar-2024 02:39 PM,Doc1.pdf (615.00 KB),award of contract,Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Deepak Walia Superintendent PMGSY,Ravi Bhatti,29-Jan-2024 01:38 PM,finsummary_123485.pdf (17.05 KB),Er Ravi Bhatti Executive Engineer,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Deepak Walia Superintendent PMGSY,Ravi Bhatti,16-Jan-2024 03:51 PM,16-Jan-2024 03:55 PM,techsummary_123485.pdf (17.05 KB),PWD,2023_PWD_83080_1,No.12260-67 dated 19.12.2023,Construction of link road from lehan Kotla to Sunnu Tikkari ser Chirag km 0/0 to 4/260 in District Solan (HP),1.0,396052.0,vikas sharma,INR,"53,763,620",Finance,Financial bid opening summary,Ravi Bhatti,18-Jan-2024 11:08 AM,finance_123485.pdf,BOQ Comparative Chart,Technical,Technical bid opening summary,Ravi Bhatti,06-Jan-2024 04:57 PM,technical_123485.pdf,1.0,395797.0,Mohan lal Thakur,03-Jan-2024 02:00 PM,Rejected-Finance,L-2,29-Jan-2024,Construction of link road from lehan Kotla to Sunnu Tikkari ser Chirag km 0/0 to 4/260 in District Solan (HP),"Formation cutting, passing place, R/wall, CD work GSB, WBM-II, WBM-III, tarring work, side drain, parapets paver block and dumping site etc.) under NABARD-RIDF-XXIX",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,548.0,Solan,173212.0,NA ,NA ,NA ,Solan B and R division,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Executive Engineer B and R Division HPPWD Solan,near new bus stand solan,"5,000",Nil,Nil,No,PWD,No.12260-67 dated 19.12.2023,2023_PWD_83080_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,29-Dec-2023 11:00 AM,05-Jan-2024 11:30 AM,29-Dec-2023 11:00 AM,05-Jan-2024 11:00 AM,NA ,NA ,29-Dec-2023 11:00 AM,05-Jan-2024 11:00 AM,16-Jan-2024 03:55 PM,1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender and earnest money indicate in Schedule F General Rule NO. 24.1,"10,98,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Technical Bid,Technical Bid,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,396052.0,vikas sharma,05-Jan-2024 10:49 AM,Accepted-AOC,award of contract,14-Mar-2024,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. Contractors registration refers general rules and directions No 24.3 of SBD.,,,,,,,2.0,ICICI NEFT/RTGS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Financial Details ,Annual Turn over certificates from CA ,Annual Turn over certificates from CA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. GST registration refers general rules and Directions no 24.4 of SBD.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Work Details ,Existing Commitments ,Existing Commitments Details ,HP_ExistingCommitments.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Work done certificate and work in hand certificate refer in general rules No 24.5 schedule F Note,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. Affidavits of correctness of all the documents are submitted is true by the Contractor.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Work done condition one similar nature of work not less than 40 percent of the estimated cost as,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload PDF documents.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,
