Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.2,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Bank Name,Cover No,Cover,Document Type,Description
Technical,summary,Raj Kumar,02-Mar-2024 05:14 PM,technical_128870.pdf,Finance,financial summary,Raj Kumar,06-Mar-2024 04:24 PM,finance_128870.pdf,BOQ Comparative Chart,06-Mar-2024,"INR 218,528",30.0,Raj Kumar,06-Mar-2024 04:34 PM,awardfalseceiling.pdf (391.00 KB),AWARD LETTER,1.0,413580.0,NAVEEN CONTRACTOR,02-Mar-2024 11:05 AM,Rejected-AOC,l-2,06-Mar-2024,rakeshkumar,Internal,"AESOMKRISHAN,AERAJKUMAR",Raj Kumar,02-Mar-2024 05:27 PM,04-Mar-2024 10:00 AM,techsummary_128870.pdf (561.55 KB),1.0,413562.0,RAJ KUMAR,INR,"218,528","HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",2024_HPSEB_86661_1,HPSEBL/TCD/DB-7/91,"Estimate for providing and fixing of False Ceiling and Paneling in the Visitor Room of Chief Engineer office at Sundernagar, Mandi.",Rakesh kumar,Internal,"AE SOMKRISHAN, AE RAJKUMAR",Raj Kumar,06-Mar-2024 04:28 PM,finsummary_128870.pdf (861.68 KB),1.0,time extension of corrigendum,Date,,Sr. XEN TCD PANDOH,Sr. xen TCD PANDOH,21-Feb-2024 05:30 PM,02-Mar-2024 03:00 PM,21-Feb-2024 05:30 PM,02-Mar-2024 12:00 PM,NA ,NA ,21-Feb-2024 05:30 PM,02-Mar-2024 12:00 PM,04-Mar-2024 10:00 AM,"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",HPSEBL/TCD/DB-7/91,2024_HPSEB_86661_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,"Estimate for providing and fixing of False Ceiling and Paneling in the Visitor Room of Chief Engineer office at Sundernagar, Mandi.","Estimate for providing and fixing of False Ceiling and Paneling in the Visitor Room of Chief Engineer office at Sundernagar, Mandi.",Please refer Tender documents. ,NA ,"2,18,528",Civil Works - Buildings,REPAIR WORK ,Tender,180.0,30.0,SUNDERNAGAR,175019.0,NA ,NA ,NA ,TCD PANDOH,No ,No,590.0,Nil,Nil,No,"5,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COPY OF ADHAR CARD
,,,,,,,,,,,,,,,,,,2.0,413611.0,PARDEEP KUMAR,02-Mar-2024 11:52 AM,Rejected-AOC,willingly leave the work as the work is tied.,06-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,COPY OF PAN CARD
,,,,,,,,,,,,,,,,,,3.0,413562.0,RAJ KUMAR,02-Mar-2024 11:28 AM,Accepted-AOC,L-1 and agrees to do the work on negotiated amount.,06-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION CERTIFICATE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX CLEARANCE CERTIFICATE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DECLERATION OF NON BLACKLISTING ON JUDICIAL STAMP PAPER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,INCOME TAX RETURN OF LAST 3 YERAS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SIMILAR WORK DONE CERTIFICATE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF EPF
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
