Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Corrigendum Title,Corrigendum Type,View
EE Hamirpur,Internal,sUPDThdmsRdao,Deepak Kapil,16-Mar-2024 05:16 PM,finsummary_126464.pdf (627.46 KB),16-Mar-2024,"INR 3,072,601",60.0,Deepak Kapil,16-Mar-2024 05:19 PM,AwardBatalChoru.pdf (637.00 KB),AWARD,PWD,2024_PWD_85005_1,C/O Babe Di Kutia Kuhal Batal Choru km 0/0 to 2/500,Balance work of construction of link road from Babe Di Kutia Kuhal Batal Choru km 0/0 to 2/500,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,29-Feb-2024 06:07 PM,01-Mar-2024 11:00 AM,techsummary_126464.pdf (1056.47 KB),Technical,Attached,Deepak Kapil,29-Feb-2024 06:04 PM,technical_126464.pdf,1.0,404638.0,ANKUSH PARMAR,12-Feb-2024 11:10 AM,Rejected-Finance,L2,16-Mar-2024,Finance,ATTACHED,Deepak Kapil,16-Mar-2024 05:13 PM,finance_126464.pdf,BOQ Comparative Chart,1.0,403053.0,Ashok Kumar,INR,"3,072,600.91",EE Hamirpur,Executive Engineer HPPWD Hamirpur,03-Feb-2024 09:00 AM,13-Feb-2024 11:00 AM,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,NA ,NA ,03-Feb-2024 09:00 AM,13-Feb-2024 10:30 AM,01-Mar-2024 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,PWD,C/O Babe Di Kutia Kuhal Batal Choru km 0/0 to 2/500,2024_PWD_85005_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Balance work of construction of link road from Babe Di Kutia Kuhal Batal Choru km 0/0 to 2/500,SH Metalling and Tarring C/o V Shape drain in km 0/0 to 1/0,Please refer Tender documents. ,NA ,"29,33,270",Civil Works - Roads,NA ,Tender,60.0,60.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,1.0,ICICI BANK,"51,500",No,fixed,,Nil,Nil,"1,000",Nil,Nil,No,1.0,Corrigendum,Date,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,403053.0,Ashok Kumar,06-Feb-2024 10:17 PM,Accepted-AOC,L1,16-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done Certificate as per SBD 1.2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,404511.0,Karan Raj Singh,12-Feb-2024 12:57 PM,Rejected-Technical,Rejected,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,403059.0,Mukesh,13-Feb-2024 08:31 AM,Rejected-Technical,Rejected,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,403920.0,Rajinder Rana,12-Feb-2024 06:21 PM,Rejected-Technical,Rejected,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
