Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Auction Initiated Status :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
15-Mar-2024,"INR 8,165,390",105.0,Suraj Pandey,15-Mar-2024 03:18 PM,AOCTE22023CABLE.pdf (297.00 KB),Two Purchase orders awarded to the firms M/s Altair Power Pvt Ltd and M/s V Mark india Ltd. for Rs.3691325.00 and Rs.4474065.00 respectively on Dt.01.08.2023.,Technical,Techno-commercial Bid Opening Summary,Chhote Lal Sharma,12-Apr-2023 05:56 PM,technical_108042.pdf,Finance,Auto Opened,Chhote Lal Sharma,27-Apr-2023 12:01 PM,,Yes,BOQ Comparative Chart,1.0,340744.0,ALTAIR POWER PRIVATE LIMITED,11-Apr-2023 05:06 PM,Accepted-AOC,L-I bidder,15-Mar-2024,Sr.Executive engineer III,Internal,"Assistant Engineer , Under secretary",Vimal Kumar,26-Apr-2023 05:23 PM,27-Apr-2023 11:00 AM,techsummary_108042.pdf (249.91 KB),1.0,340744.0,ALTAIR POWER PRIVATE LIMITED,INR,"3,691,325",HPSEBL,2023_HPSEB_71824_1,CE(MM)-02/2023,Procurement of ISI marked HT and LT XLPE Cable of assorted sizes,Chief Engineer,Internal,Sr Executive Engineer Assistant Engineer,Suraj Pandey,15-Mar-2024 03:02 PM,finsummary_108042.pdf (296.81 KB),1.0,Fee,.pdf,Proof of Tender Fee,Procurement of ISI marked HT and LT XLPE Cable of assorted sizes,Procurement of ISI marked HT and LT XLPE Cable of assorted sizes,As per NIT ,EMD for HP based local units registered with HPSEB Ltd is NIL and for other firms is Rs. 136379 ,"1,36,37,890",Electrical Work/ Equipment,ISI HT LT XLPE Cable ,Tender,120.0,75.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,"1,36,379",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Chief Engineer MM,"Office of Chief Engineer MM, HPSEBL, Shimla-04","1,180",Nil,Nil,No,1.0,Rectification Order,Technical Bid,,01-Apr-2023 03:15 PM,12-Apr-2023 03:30 PM,01-Apr-2023 03:15 PM,12-Apr-2023 11:00 AM,NA ,NA ,01-Apr-2023 03:15 PM,12-Apr-2023 11:00 AM,27-Apr-2023 11:00 AM,HPSEBL,CE(MM)-02/2023,2023_HPSEB_71824_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No
,,,,,,,,,,,,,,,,,,,2.0,341217.0,Himachal Aluminium and Conductors,11-Apr-2023 05:43 PM,Not Admitted-Fee,"Others-As per vendor registration document submitted by the firm, the firm is not registered for HT and LT XLPE Cable ( Ref Clause No. 15.1 of section-I)",12-Apr-2023,,,,,,,,2.0,340797.0,V-MARC India Limited,INR,"4,474,065",,,,,,,,,,,,,.pdf,Proof of EMD,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3.0,341621.0,MAHESH KUMAR AND SONS,12-Apr-2023 10:40 AM,Rejected-Technical,documents not as per NIT,26-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS Certificate, ISO certificate, GST registration certificate, PAN Card copy, ITR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,4.0,340417.0,Relemac Technologies Private Limited,07-Apr-2023 06:05 PM,Rejected-Finance,Not quoted L-I rate for 1Cx1000mm2 LT XLPE cable and not quoted for other sizes.,15-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Type test reports of offered material and undertaking regarding e Reverse auction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,5.0,340536.0,Saraswati Cables & Allied Industries Pvt Ltd,11-Apr-2023 05:32 PM,Not Admitted-Fee,"Others-As per vendor registration document submitted by the firm, the firm is not registered for HT and LT XLPE Cable ( Ref Clause No. 15.1 of section-I)",12-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,6.0,340797.0,V-MARC India Limited,10-Apr-2023 07:30 PM,Accepted-AOC,L-I bidder,15-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for acceptance and routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheet of last three years, Last three years turn over duly certified by CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney or Board of resolution to sign the bid doc and acceptance of terms and conditi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly signed tender documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
