Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
PWD,15258-297,2024_PWD_85676_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPPWD Division Jaisinghpur,500.0,Nil,Nil,No,13-Feb-2024 09:00 AM,20-Feb-2024 11:30 AM,13-Feb-2024 09:00 AM,20-Feb-2024 11:00 AM,NA ,NA ,13-Feb-2024 09:00 AM,20-Feb-2024 11:00 AM,22-Feb-2024 03:00 PM,"22,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Valid registration copy,Annual maintenance plan for Link road to Village Bhagrana DRRP No.HPHP0407VR0124557201,"Providing and Laying Tack coat, 25 mm thick Mix Seal surfacing with waste Plastic material between Km 0/00 to 1/00) (year 2024-25 Village road",Please refer Tender documents. ,NA ,"11,15,626",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,PWD,2024_PWD_85676_1,15258-297,Annual maintenance plan for Link road to Village Bhagrana DRRP No.HPHP0407VR0124557201,Er. Vijay Kumar Verma,Internal,"Supdt., HDM and Accountant of HPPWD Div Jaisinghpur",Vijay Kumar Verma,22-Feb-2024 02:45 PM,22-Feb-2024 03:00 PM,techsummary_127530.pdf (310.98 KB),Er. Vijay Kumar Verma,Internal,"Supdt., HDM and Accountant of HPPWD Div J/Pur",Vijay Kumar Verma,01-Mar-2024 03:24 PM,finsummary_127530.pdf (291.51 KB),07-Mar-2024,"INR 1,115,625",60.0,Vijay Kumar Verma,26-Mar-2024 10:29 AM,BhagranaKulvinder85676.pdf (818.00 KB),Kulvinder Singh Rana,1.0,406802.0,Kulvinder Singh Rana,19-Feb-2024 01:28 PM,Accepted-AOC,L1,26-Mar-2024,Technical,Attached,Vijay Kumar Verma,22-Feb-2024 02:20 PM,technical_127530.pdf,Finance,Summary,Vijay Kumar Verma,01-Mar-2024 03:21 PM,finance_127530.pdf,BOQ Comparative Chart,1.0,406802.0,Kulvinder Singh Rana,INR,"1,028,243"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,GST registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,407334.0,Raj Kumar Govt. Contractor,17-Feb-2024 04:58 PM,Rejected-Finance,L2,01-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and staff including Hot Mix plant and its location for tarring work with proof i.e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted employees of HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of online deposit receipt for Tender form cost and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
