Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Technical,Attached,Vijay Kumar Verma,22-Feb-2024 02:16 PM,technical_127283.pdf,1.0,406811.0,Kulvinder Singh Rana,16-Feb-2024 01:20 PM,Accepted-AOC,L1,21-Mar-2024,Finance,Summary,Vijay Kumar Verma,01-Mar-2024 02:55 PM,finance_127283.pdf,BOQ Comparative Chart,1.0,406811.0,Kulvinder Singh Rana,INR,"2,209,290",Er. Vijay Kumar Verma,Internal,As per detail attached,Vijay Kumar Verma,01-Mar-2024 03:35 PM,finsummary_127283.pdf (291.51 KB),07-Mar-2024,"INR 2,392,794",60.0,Vijay Kumar Verma,21-Mar-2024 06:36 PM,ArthBehruKulvinder855631.pdf (793.00 KB),Kulvinder Singh Rana,PWD,2024_PWD_85563_1,jaisinghpur15218-257,"Annual maintenance plan for Arth to Behru Road DRRP No.HPHP0407VR0025303,2305,",Er. Vijay Kumar Verma,Internal,"Supdt., HDM and Accountant of HPPWD Div Jaisinghpur",Vijay Kumar Verma,22-Feb-2024 02:38 PM,22-Feb-2024 03:00 PM,techsummary_127283.pdf (320.17 KB),1.0,Fee/PreQual/Technical,.pdf,Valid registration copy,"Annual maintenance plan for Arth to Behru Road DRRP No.HPHP0407VR0025303,2305,","SH- Providing and Laying Tack coat, 25 mm thick Mix Seal surfacing between Km 2/00 to 3/00 and 4/00 to 5/00) (year 2024-25 Village road",Please refer Tender documents. ,NA ,"23,92,794",Civil Works,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,500.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,"Executive Engineer, HP WD Jaisinghpur Division",12-Feb-2024 09:00 AM,19-Feb-2024 11:30 AM,12-Feb-2024 09:00 AM,18-Feb-2024 05:00 PM,NA ,NA ,12-Feb-2024 09:00 AM,18-Feb-2024 05:00 PM,22-Feb-2024 03:00 PM,"47,900",No,fixed,,Nil,Nil,PWD,jaisinghpur15218-257,2024_PWD_85563_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,2.0,407322.0,Raj Kumar Govt. Contractor,17-Feb-2024 04:53 PM,Rejected-Finance,L2,01-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration number,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and staff including Hot Mix plant and its location for tarring work with proof i.e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted employees of HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of online deposit receipt for Tender form cost and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
