Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
10-Feb-2024 09:00 AM,16-Feb-2024 11:30 AM,10-Feb-2024 09:00 AM,16-Feb-2024 11:00 AM,NA ,NA ,10-Feb-2024 09:00 AM,16-Feb-2024 11:00 AM,22-Feb-2024 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Valid registration copy,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,"Executive Engineer, HP PWD Division Jaisinghpur",PWD,jaisinghpur14964-15000,2024_PWD_85523_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"45,800",No,fixed,,Nil,Nil,"Annual maintenance plan for Chadhiar Mungal Haler Road DRRP No.HPHP04 07VR0005057207,208","SH- Providing and Laying Tack coat, 25 mm thick Mix Seal surfacing including profile correction and applying 2.5 mm thick hot Thermoplastic road marking strips (Retro-Reflective) between Km 6/00 to 7/00 and 7/00 to 8/0) (year 2024-25 Village road",Please refer Tender documents. ,NA ,"22,85,166",Civil Works,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Finance,Summary,Vijay Kumar Verma,01-Mar-2024 02:15 PM,finance_127235.pdf,BOQ Comparative Chart,1.0,406254.0,Kulvinder Singh Rana,INR,"2,125,299",1.0,406254.0,Kulvinder Singh Rana,15-Feb-2024 03:07 PM,Accepted-AOC,L1,21-Mar-2024,Technical,Attached,Vijay Kumar Verma,22-Feb-2024 02:14 PM,technical_127235.pdf,Er. Vijay Kumar Verma,Internal,Supdt. HDM and Accountant,Vijay Kumar Verma,22-Feb-2024 02:31 PM,22-Feb-2024 03:00 PM,techsummary_127235.pdf (368.58 KB),PWD,2024_PWD_85523_3,jaisinghpur14964-15000,"Annual maintenance plan for Chadhiar Mungal Haler Road DRRP No.HPHP04 07VR0005057207,208",07-Mar-2024,"INR 2,382,286",60.0,Vijay Kumar Verma,21-Mar-2024 06:10 PM,CdrMungalKulvinder855233.pdf (825.00 KB),Shri Kulvinder Singh Rana,Er. Vijay Kumar Verma,Internal,Detail attached,Vijay Kumar Verma,01-Mar-2024 03:38 PM,finsummary_127235.pdf (291.51 KB)
,,,,,,,,,,,.pdf,GST registration number,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,406533.0,Raj Kumar Govt. Contractor,15-Feb-2024 05:31 PM,Rejected-Finance,L2,01-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Similar Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,List of machinery and staff including Hot Mix plant and its location for tarring work with proof i.e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted employees of HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,copy of online deposit receipt for Tender form cost and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
