Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,23-Jan-2023 03:54 PM,finsummary_99458.pdf (228.25 KB),26-Mar-2024,"INR 484,478",30.0,Rajeev Kumar,26-Mar-2024 06:00 PM,16606.pdf (1348.00 KB),Repair of General Pooled accommodation at Chamba (SH Replacement of roofing over type-IV quarter),PWD,2022_PWD_66086_2,No.PWC-WA-II- 10932-11031 dated 26.9.2022,Repair of General Pooled accommodation at Chamba (SH Replacement of roofing over type-IV quarter),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,14-Dec-2022 04:24 PM,19-Dec-2022 11:30 AM,techsummary_99458.pdf (231.82 KB),Technical,BOS,Jeet Singh Thakur,14-Dec-2022 12:48 PM,technical_99458.pdf,1.0,308045.0,DHEERAJ PURI,12-Oct-2022 01:25 PM,Accepted-AOC,Work completed,26-Mar-2024,Finance,Bid opening Summary,Jeet Singh Thakur,23-Jan-2023 03:50 PM,finance_99458.pdf,BOQ Comparative Chart,1.0,308045.0,DHEERAJ PURI,INR,"417,565",1.0,ICICI BANK,06-Oct-2022 03:00 PM,14-Oct-2022 11:30 AM,06-Oct-2022 03:00 PM,13-Oct-2022 05:00 PM,NA ,NA ,06-Oct-2022 03:00 PM,13-Oct-2022 05:00 PM,19-Dec-2022 11:30 AM,350.0,Nil,Nil,No,"9,800",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form onlyonline mode through e-payment,PWD,No.PWC-WA-II- 10932-11031 dated 26.9.2022,2022_PWD_66086_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Repair of General Pooled accommodation at Chamba (SH Replacement of roofing over type-IV quarter),Repair of General Pooled accommodation at Chamba (SH Replacement of roofing over type-IV quarter),Please refer Tender documents. ,NA ,"4,87,478",Civil Works,NA ,Tender,75.0,NA ,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,307617.0,MUKESH CHAND,11-Oct-2022 11:26 AM,Rejected-Finance,2nd lowest,23-Jan-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,308359.0,RAJESH KUMAR,13-Oct-2022 04:04 PM,Rejected-Finance,4th lowest,23-Jan-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,307851.0,YOG RAJ,11-Oct-2022 01:49 PM,Rejected-Finance,3rd lowest,23-Jan-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
