Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
02-Feb-2024 05:00 PM,13-Feb-2024 11:00 AM,02-Feb-2024 05:00 PM,12-Feb-2024 05:00 PM,NA ,NA ,02-Feb-2024 05:00 PM,12-Feb-2024 05:00 PM,17-Feb-2024 02:45 PM,"District Project Manager, HPCDP (Phase-II), JICA-O","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).",1.0,DD - Demand Draft,"1,18,000",No,fixed,,"District Project Manager, HPCDP (Phase-II), JICA-O","O/o District Project Manager, HPCDP (Phase-II), JI","2,000","District Project Manager, HPCDP (Phase-II), JICA-O","O/o District Project Manager, HPCDP (Phase-II), JI",No,"C/o Lift Irrigation Scheme Kasarla at Village Kasarla, G.P. Kasarla, Tehsil Balh, District Mandi (H.P.).","C/o Lift Irrigation Scheme Kasarla at Village Kasarla, G.P. Kasarla, Tehsil Balh, District Mandi (H.P.).",Please refer Tender documents. ,NA ,"85,03,100",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,365.0,"Village Kasarla, G.P. Kasarla, Tehsil Balh, Distr",175005.0,"District Project Manager, HPCDP (Phase-II), JICA-O ","District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",07-Feb-2024 11:00 AM ,"District Project Manager, HPCDP (Phase-II), JICA-O",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-54/2023-4114dt02.02.2024,2024_HPCDP_84968_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Balbir Singh Thakur,Internal,Pawan Kumar Pankaj Chauhan Pradeep Sharma Yoginder Kaushal,Sonal Gupta,15-Mar-2024 03:00 PM,finsummary_126422.pdf (238.19 KB),Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2024_HPCDP_84968_1,F(5)-54/2023-4114dt02.02.2024,"C/o Lift Irrigation Scheme Kasarla at Village Kasarla, G.P. Kasarla, Tehsil Balh, District Mandi (H.P.).",1.0,404414.0,Tek Singh Raghav,INR,"11,459,578",Balbir Thakur,Internal,Yoginder Kaushal Pradeep Sharma Pradeep Kumar Pawan Kumar Jai Singh Pankaj Chauhan,Sonal Gupta,17-Feb-2024 02:42 PM,17-Feb-2024 02:45 PM,techsummary_126422.pdf (176.75 KB),1.0,404414.0,Tek Singh Raghav,12-Feb-2024 12:29 PM,Accepted-AOC,Accepted,15-Mar-2024,Finance,Financial Statement,Sonal Gupta,15-Mar-2024 02:51 PM,finance_126422.pdf,BOQ Comparative Chart,Technical,Technical Evaluation,Sonal Gupta,17-Feb-2024 02:34 PM,technical_126422.pdf,15-Mar-2024,"INR 11,459,578",365.0,Sonal Gupta,15-Mar-2024 03:31 PM,KasarlaAward.pdf (4710.00 KB),Letter of Acceptance
,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,404181.0,V S CONTRACTORS AND ENGINEERS,10-Feb-2024 04:36 PM,Rejected-Finance,Rejected,15-Mar-2024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 3 years in the last 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
