Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Bank Name,Name,Address
18-Mar-2024,"INR 96,028,940",720.0,Deepak Raj Chauhan,18-Mar-2024 04:42 PM,LetterALakhoti.pdf (843.00 KB),L1 Awarded,"Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE Shimla Division No.-I, HPPWD, Shimla, Member, EE D 4th Circle, HPPWD, Shimla, Member, AE 4th Circle HPPWD Shimla, Member, Sr DAO, Shimla Division HPPWD Shimla, Member",Deepak Raj Chauhan,18-Mar-2024 04:17 PM,finsummary_126736.pdf (1227.92 KB),"Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE Shimla Division No.-I, HPPWD, Shimla, Member, EE D 4th Circle, HPPWD, Shimla, Member, AE 4th Circle HPPWD Shimla, Member, Sr DAO, Shimla Division HPPWD Shimla, Member",Parveen Kumar Verma,28-Feb-2024 11:32 AM,01-Mar-2024 11:00 AM,techsummary_126736.pdf (313.72 KB),PWD,2024_PWD_85178_1,5022024.0,"C/o of Bridge over Giri River at Lakhoti C/O 75.243 Mtrs Double lane Bridge on Lakhoti koti Shergaon road(Portion Dublu to Shergaon, over Giri River at RD 7/00 and C/O Approach road, FC, drain etc and M/T RD 6/00 to 7/00) Recalled",1.0,407369.0,VIJAY KAPOOR CONSTRUCTIONS,INR,"100,484,683",Finance,Financial Evaluation Summary,Parveen Kumar Verma,02-Mar-2024 10:24 AM,finance_126736.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Deepak Raj Chauhan,27-Feb-2024 11:18 AM,technical_126736.pdf,1.0,406388.0,JAI JAGDISH ENGINEERS AND CONTRACTORS,21-Feb-2024 10:54 AM,Rejected-Finance,L2,18-Mar-2024,PWD,5022024.0,2024_PWD_85178_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,05-Feb-2024 04:30 PM,26-Feb-2024 12:30 PM,05-Feb-2024 04:30 PM,26-Feb-2024 11:30 AM,NA ,NA ,05-Feb-2024 04:30 PM,26-Feb-2024 11:30 AM,01-Mar-2024 11:00 AM,"19,20,600",No,fixed,,Nil,Nil,"C/o of Bridge over Giri River at Lakhoti C/O 75.243 Mtrs Double lane Bridge on Lakhoti koti Shergaon road(Portion Dublu to Shergaon, over Giri River at RD 7/00 and C/O Approach road, FC, drain etc and M/T RD 6/00 to 7/00) Recalled","(SH C/O Formation Cutting,sub Structure,Sub structure,super structure,R/wall,B/wall for Both side approaches road, Metaling Tarring,Catch water Drain in RD 6/00 to 7/00)RIDF-XXIX Recalled",AS PER BIDDING DOCUMENT ,NA ,"9,60,28,940",Civil Works - Bridges,NA ,Tender,75.0,720.0,SHIMLA DIVISION NO-I,171009.0,NA ,NA ,NA ,"Superintending Engineer, 4th Circle, HPPWD, Shimla",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online) and Earnest Money (Online),1.0,Changes in Dates Lakhoti,Date,,"5,000",Nil,Nil,No,1.0,ICICI BANK,"Superintending Engineer, 4th Circle, HPPWD, Shimla","Superintending Engineer, 4th Circle, HPPWD, Shimla"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,407369.0,VIJAY KAPOOR CONSTRUCTIONS,17-Feb-2024 04:49 PM,Accepted-AOC,L1 Awarded,18-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,2.0,Addition in Bidding Documents,Other,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds EPF certificate,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report as per clause 4.4A(a) of ITB, Section 2 in SBD",,,,,,,,,,,,
