S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Addition in Bidding Documents,Other,,PWD,14022024.0,2024_PWD_85997_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Form (Online) and Earnest Money (Online),"5,000",Nil,Nil,No,C/O Thathal Nallah to Rachhani road km 0/0 to 4/675,"SH -Formation cutting 5/7 mtr Wide R/wall, B/wall, C.D. works, road side unlined drain Kharrnja stone soling, and Parapets, dumping structure n km 0/0 to 4/675",AS PER BIDDING DOCUMENT ,NA ,"3,17,15,000",Civil Works - Roads,NA ,Tender,75.0,540.0,Theog Division,171201.0,NA ,NA ,NA ,"Superintending Engineer, 4th Circle, HPPWD, Shimla",No ,No,"6,34,000",No,fixed,,Nil,Nil,"Superintending Engineer, 4th Circle, HPPWD, Shimla","Superintending Engineer, 4th Circle, HPPWD, Shimla",15-Feb-2024 02:00 PM,27-Feb-2024 03:00 PM,15-Feb-2024 02:00 PM,27-Feb-2024 02:00 PM,NA ,NA ,15-Feb-2024 02:00 PM,27-Feb-2024 02:00 PM,05-Mar-2024 11:00 AM,1.0,ICICI BANK,1.0,411643.0,Maheshrajan,INR,"20,291,038",Finance,Bid opening summary,Parveen Kumar Verma,07-Mar-2024 04:03 PM,finance_127953.pdf,BOQ Comparative Chart,1.0,411120.0,DEVKI NANDAN SHARMA,26-Feb-2024 08:54 PM,Rejected-Finance,L3,11-Mar-2024,Technical,Technical Bid Opening Summary,Parveen Kumar Verma,28-Feb-2024 11:41 AM,technical_127953.pdf,Erdeepakrajchauhan,Internal,"EE(D) 4th Circle HPPWD, EE Theog HPPWD Theog, AE 4th Circle HPPWD, AOTheogDivision HPPWD Theog",Parveen Kumar Verma,01-Mar-2024 01:50 PM,05-Mar-2024 11:00 AM,techsummary_127953.pdf (521.00 KB),PWD,2024_PWD_85997_1,14022024.0,C/O Thathal Nallah to Rachhani road km 0/0 to 4/675,16-Mar-2024,"INR 31,715,000",540.0,Deepak Raj Chauhan,22-Mar-2024 06:33 PM,LettertoProceedThathalNallah.pdf (776.00 KB),L1 Letter to proceed,"Superintending Engineer, 4th Circle, HPPWD, Shimla",Internal,"EE, Theog Division HPPWD Theog, Member, EE (D), 4th Circle, HPPWD Shimla, Member, AE (D), 4th Circle HPPWD Shimla, Member, DAO Theog Division HPPWD Theog, Member",Ramesh Negi,11-Mar-2024 04:00 PM,finsummary_127953.pdf (1106.78 KB)
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,411237.0,Dinesh Chauhan,27-Feb-2024 10:40 AM,Rejected-Finance,L2,11-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Copy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,410715.0,kapoor sanjee,26-Feb-2024 02:37 PM,Rejected-Finance,L4,11-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Work Completed and work in hand as per Clause 4.2 (c) and 4.4A(b) of ITB Section 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,411643.0,Maheshrajan,27-Feb-2024 01:39 PM,Accepted-AOC,L1 Letter to proceed,22-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant as per clause 4.2 (d) and 4.4 B (b) (i) of ITB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,410219.0,Sandeep Chandel,27-Feb-2024 01:05 PM,Rejected-Finance,L5,11-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in Section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,List of Gazetted and Non-Gazetted HPPWD Employees related to Him(as per clause 4.4 B(c)of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and correct in all respect as per clause 4.4 B(a)(ii)of ITB and Format in Sec. 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds EPF certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report as per clause 4.4A(a) of ITB, Section 2 in SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
