Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bank Name,Name,Address
"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Haroli",2024_HPIPH_87641_1,No. JSV/ Haroli/ TA/ tender/24- 4061-75 dt 01-03-24,Providing Flood Protection Work to protect the Harizan Basti in village Khad in Distt. Una (HP) (Sub Head C/O Earthen embankment including crated apron and stone pitching from RD. 5750/150 to 5750/400 on Right Bank of Khad ),1.0,416297.0,abhishek khajanchi,INR,"4,150,110",--,Internal,----,Puneet Sharma,25-Mar-2024 01:42 PM,finsummary_130189.pdf (362.47 KB),25-Mar-2024,"INR 4,150,110",180.0,Puneet Sharma,25-Mar-2024 01:44 PM,Khajanchi.pdf (362.00 KB),AOC,Finance,summary,Puneet Sharma,12-Mar-2024 03:57 PM,finance_130189.pdf,BOQ Comparative Chart,Technical,summary,Puneet Sharma,12-Mar-2024 01:36 PM,technical_130189.pdf,--,Internal,-----,Puneet Sharma,12-Mar-2024 01:39 PM,12-Mar-2024 01:40 PM,techsummary_130189.pdf (83.17 KB),1,416297,abhishek khajanchi,10-Mar-2024 05:40 PM,Accepted-AOC,L-1,25-Mar-2024,02-Mar-2024 10:00 AM,11-Mar-2024 11:30 AM,02-Mar-2024 10:00 AM,11-Mar-2024 10:00 AM,02-Mar-2024 10:00 AM ,11-Mar-2024 10:00 AM ,02-Mar-2024 10:00 AM,11-Mar-2024 10:00 AM,12-Mar-2024 01:40 PM,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Haroli",No. JSV/ Haroli/ TA/ tender/24- 4061-75 dt 01-03-24,2024_HPIPH_87641_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,Providing Flood Protection Work to protect the Harizan Basti in village Khad in Distt. Una (HP) (Sub Head C/O Earthen embankment including crated apron and stone pitching from RD. 5750/150 to 5750/400 on Right Bank of Khad ),Providing Flood Protection Work to protect the Harizan Basti in village Khad in Distt. Una (HP) (Sub Head C/O Earthen embankment including crated apron and stone pitching from RD. 5750/150 to 5750/400 on Right Bank of Khad ),as per NIT  ,NA ,"86,60,210",Civil Works,NA ,Tender,120.0,180.0,Haroli Consty,177220.0,NA ,NA ,NA ,Haroli Distt Una HP,No ,No,"1,73,204",Yes,fixed,,Executive Engineer Jal Shakti Divn Haroli,Executive Engineer Jal Shakti Divn Haroli,800.0,Executive Engineer Jal Shakti Divn Haroli,Executive Engineer Jal Shakti Divn Haroli,Yes,1.0,ICICI BANK,Executive Engineer Jal Shakti Divn Haroli,Executive Engineer Jal Shakti Divn Haroli
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,416380,aditya govt. contractor,11-Mar-2024 07:46 AM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,416241,Ankush Dhiman,10-Mar-2024 06:37 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,415641,ASHOK KUMAR,10-Mar-2024 07:56 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number along with latest copy of GST return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,416378,Gaurav Attri,10-Mar-2024 09:58 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"work done certificate, if any",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,416403,Mohit Kaushal,10-Mar-2024 10:49 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding two or more works pending to be executed under Jal Shakti Divn Haroli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,416294,M/S P.S ENTERPRISES,10-Mar-2024 07:22 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,416181,parmod kumar,10-Mar-2024 01:16 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax return (ITR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,416369,Sahil ohri,10-Mar-2024 08:15 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,416400,Yash Pal Sharma,10-Mar-2024 10:46 PM,Rejected-Finance,Not Found L-1,25-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
