Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1.1,Category,Sub Category,Sub Category Description,Format/File
Finance,Financial Evolution,Devi Ram Chauhan,19-Jul-2023 11:20 AM,finance_111060.pdf,BOQ Comparative Chart,1.0,351629.0,SKY-HAWK INFRA PVT LTD,INR,"633,889",Technical,Technical Bid,Devi Ram Chauhan,08-Jun-2023 01:16 PM,technical_111060.pdf,1.0,351210.0,DASS RAM,06-Jun-2023 07:34 AM,Rejected-Finance,Being L2,26-Aug-2023,11-Mar-2024,"INR 633,889",90.0,Devi Ram Chauhan,11-Mar-2024 11:49 AM,Award.pdf (511.00 KB),Award Letter,EE Devi Ram Chauhan,Internal,"AE Medical College, Supdt. G-II, DAO",Devi Ram Chauhan,26-Aug-2023 12:00 PM,finsummary_111060.pdf (212.23 KB),EE Devi Ram Chauhan,Internal,"AE Medical College, Supdt. G.II, DAO",Devi Ram Chauhan,08-Jun-2023 01:19 PM,08-Jun-2023 01:30 PM,techsummary_111060.pdf (625.69 KB),PWD,2023_PWD_73980_1,PW-NCD-TA-NIQ-2023- 1624-73 dt. 26-05-2023,"Routine day-to-day repair and maintenance of Non- Residential Buildings at SLBSGMC and Hospital at Nerchowk, Distt. Mandi.","16,650",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,27-May-2023 02:15 PM,06-Jun-2023 11:30 AM,27-May-2023 02:15 PM,06-Jun-2023 10:30 AM,NA ,NA ,27-May-2023 02:15 PM,06-Jun-2023 10:30 AM,08-Jun-2023 01:30 PM,PWD,PW-NCD-TA-NIQ-2023- 1624-73 dt. 26-05-2023,2023_PWD_73980_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EE HPPWD Division Nerchowk,HPPWD Division Nerchowk,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender (Separately),350.0,Nil,Nil,Yes,"Routine day-to-day repair and maintenance of Non- Residential Buildings at SLBSGMC and Hospital at Nerchowk, Distt. Mandi.",Carrying out routine day-to-day repair and maintenance activities in Non-Residential Buildings of SLBSGMC and H Mandi at Nerchowk During 2023-24.,Please refer Tender documents. ,NA ,"8,31,330",Civil Works,NA ,Tender,90.0,90.0,Nerchowk,175008.0,NA ,NA ,NA ,HPPWD Division Nerchowk,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,
,,,,,,,,,,,,,,,,2.0,351563.0,Parven Vaidya,03-Jun-2023 10:59 AM,Rejected-Finance,Being L3,26-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Separately),,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,
,,,,,,,,,,,,,,,,3.0,351629.0,SKY-HAWK INFRA PVT LTD,03-Jun-2023 02:34 PM,Accepted-AOC,Being L1,11-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,
