Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Finance,SUMMARY,Vijay Kumar Verma,01-Mar-2024 02:46 PM,finance_127244.pdf,BOQ Comparative Chart,1.0,406274.0,Kulvinder Singh Rana,INR,"1,124,322",Technical,Attached,Vijay Kumar Verma,22-Feb-2024 02:16 PM,technical_127244.pdf,1.0,406274.0,Kulvinder Singh Rana,15-Feb-2024 03:13 PM,Accepted-AOC,L1,21-Mar-2024,07-Mar-2024,"INR 1,205,588",60.0,Vijay Kumar Verma,21-Mar-2024 06:21 PM,ChambaLaharKulvinder855235.pdf (813.00 KB),Shri Kulvinder singh Rana,Er. Vijay Kumar Verma,Internal,Detail attached,Vijay Kumar Verma,01-Mar-2024 03:36 PM,finsummary_127244.pdf (291.51 KB),Er. Vijay Kumar Verma,Internal,Supdt. HDM and Accountant,Vijay Kumar Verma,22-Feb-2024 02:36 PM,22-Feb-2024 03:00 PM,techsummary_127244.pdf (383.04 KB),PWD,2024_PWD_85523_5,jaisinghpur14964-15000,Annual maintenance plan for Link road to Village Chamba Lahar DRRP No.HPHP0407VR012112301,1.0,Fee/PreQual/Technical,.pdf,Valid registration copy,500.0,Nil,Nil,No,Annual maintenance plan for Link road to Village Chamba Lahar DRRP No.HPHP0407VR012112301,"SH- Providing and Laying Tack coat, 25 mm thick Mix Seal surfacing including profile correction and applying 2.5 mm thick hot Thermoplastic road marking strips (Retro-Reflective) between Km 0/00 to 1/00) (year 2024-25 Village road",Please refer Tender documents. ,NA ,"12,05,588",Civil Works,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,ICICI BANK,"24,200",No,fixed,,Nil,Nil,10-Feb-2024 09:00 AM,16-Feb-2024 11:30 AM,10-Feb-2024 09:00 AM,16-Feb-2024 11:00 AM,NA ,NA ,10-Feb-2024 09:00 AM,16-Feb-2024 11:00 AM,22-Feb-2024 03:00 PM,Executive Engineer,"Executive Engineer, HP PWD Division Jaisinghpur",PWD,jaisinghpur14964-15000,2024_PWD_85523_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,2.0,406525.0,Raj Kumar Govt. Contractor,15-Feb-2024 05:31 PM,Rejected-Finance,L2,01-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration number,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and staff including Hot Mix plant and its location for tarring work with proof i.e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted employees of HPPWD related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of online deposit receipt for Tender form cost and EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
