Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1.1,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Er. Rahul Sood,Internal,Er. C.L. Azad,Chuni Lal Azad,12-Apr-2023 12:17 PM,finsummary_104073.pdf (432.86 KB),14-Mar-2024,"INR 8,325,714",60.0,Paresh Chauhan,14-Mar-2024 06:16 PM,summerRohru.pdf (525.00 KB),AOC,PWD,2023_PWD_69033_3,PW-RD-GA-Tender-23-18626-18725 Dt.14.02.23,Providing periodical maintenance on Rohru Chirgaon Dodra kawar road,Er. Pawan,Internal,"Er. C.L. AZAD , Snjay Thakur , Naveen Chauhan",Pawan Kumar Garg,04-Mar-2023 11:54 AM,04-Mar-2023 12:00 PM,techsummary_104073.pdf (521.31 KB),Technical,Summe,Pawan Kumar Garg,04-Mar-2023 11:51 AM,technical_104073.pdf,1.0,329569.0,BLN INFRA PVT LTD,27-Feb-2023 04:35 PM,Rejected-Finance,2nd lowest,12-Apr-2023,Finance,Summery,Chuni Lal Azad,04-Mar-2023 12:20 PM,finance_104073.pdf,BOQ Comparative Chart,1.0,329544.0,LOKINDER RAITKA,INR,"8,325,714",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,66,600",No,fixed,,Nil,Nil,"2,500",Nil,Nil,No,PWD,PW-RD-GA-Tender-23-18626-18725 Dt.14.02.23,2023_PWD_69033_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,1.0,ICICI BANK,EE HPPWD ROHRU,EE HPPWD ROHRU,22-Feb-2023 06:00 PM,28-Feb-2023 11:00 AM,22-Feb-2023 06:00 PM,27-Feb-2023 06:00 PM,NA ,NA ,22-Feb-2023 06:00 PM,27-Feb-2023 06:00 PM,04-Mar-2023 12:00 PM,Providing periodical maintenance on Rohru Chirgaon Dodra kawar road,"SH Providing and laying pot hole, periodical maintenance Km. at Rd. 3.0 to 6.0 and13.0 to 15.0 and 2.5 mm thick road marking strips (retro reflective ) Km. 3.0 to 6.0 and 13.00 to 15.0)under MDR",Please refer Tender documents. ,NA ,"83,25,714",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,329647.0,Jai Chauhan,27-Feb-2023 05:30 PM,Rejected-Finance,3rd Lowest,12-Apr-2023,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,329544.0,LOKINDER RAITKA,27-Feb-2023 02:40 PM,Accepted-AOC,AOC,14-Mar-2024,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand under general rule 24.5 (Similar work done forty percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important doucments as specified by the stat e in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number as per general rule 1.2B(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over for last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
