S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,"23,75,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,tender fee Earnest Money,1.0,ICICI BANK,"5,000",Nil,Nil,No,C/O Nasari to Dalgon Link Road From 0/0 km to 9/950,"(SH- F/C 5/7mtr wide road cross drainage, protection work, metalling and tarring, side drain, parapet km 0/0 to 9/950)",Please refer Tender documents. ,NA ,"11,87,71,627",Civil Works - Roads,NA ,Tender,75.0,510.0,ROHRU,171207.0,ROHRU ,SUPERINTENDING ENGINEER 14TH CIRCLE HPPWD ROHRU ,05-Jun-2023 02:00 PM ,SUPERINTENDING ENGINEER 14TH CIRCLE HPPWD ROHRU,No ,No,PWD,PW-SE-XIV-1685-1784DT-27.5.23,2023_PWD_74524_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,SUPERINTENDING ENGINEER 14TH CIRCLE HPPWD ROHRU,SUPERINTENDING ENGINEER 14TH CIRCLE HPPWD ROHRU,05-Jun-2023 01:00 PM,13-Jun-2023 11:00 AM,05-Jun-2023 01:00 PM,12-Jun-2023 06:00 PM,NA ,NA ,05-Jun-2023 01:00 PM,12-Jun-2023 06:00 PM,26-Jun-2023 11:00 AM,ATUL JYOTI GAZTA,Internal,"EE ROHRU AE (D) 14TH CIRCLE, CHD",Duni Chand Chauhan,23-Jun-2023 11:20 AM,26-Jun-2023 11:00 AM,techsummary_111738.pdf (778.85 KB),PWD,2023_PWD_74524_1,PW-SE-XIV-1685-1784DT-27.5.23,C/O Nasari to Dalgon Link Road From 0/0 km to 9/950,01-Mar-2024,"INR 117,116,268",510.0,Chuni Lal Azad,01-Mar-2024 10:07 AM,NasariDal..pdf (477.00 KB),C/O Nasari to Dalgon Link Road From 0/0 km to 9/950,SE R,Internal,"EE R, AE (D)",Chuni Lal Azad,01-Mar-2024 10:03 AM,finsummary_111738.pdf (476.83 KB),1.0,353295.0,AJAY SAUHTA,10-Jun-2023 04:24 PM,Accepted-AOC,TENDER AWARDED,01-Mar-2024,Technical,Bid Opening Summary,Duni Chand Chauhan,23-Jun-2023 11:16 AM,technical_111738.pdf,1.0,353295.0,AJAY SAUHTA,INR,"123,099,203",Finance,Bid Opening Summary,Chuni Lal Azad,26-Jun-2023 12:20 PM,finance_111738.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement (along with 26AS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Registration under Employees Provident Funds and Miscellaneous Provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Clearance of GST return attested by CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
