S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Corrigendum,Other,,Supply of Sports Goods and Wears (U-01),Annual Rate Contract for the supply of Sports Goods and Wears.,Please refer Tender documents. ,NA ,"1,74,08,968",Miscellaneous Goods,NA ,Rate Contract,120.0,365.0,"DOI , Majhita House, Chotta Shimla",171002.0,NA ,NA ,NA ,Shimla,No ,No,Industries Department||Directorate of Industries||Store Puchase Orgn,No. Ind/SP/F/(NIT)148/94-Vol-II,2023_HPInd_71917_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Online,No,No,No,1.0,ICICI BANK,04-Apr-2023 05:00 PM,24-Apr-2023 11:00 AM,04-Apr-2023 05:00 PM,24-Apr-2023 10:30 AM,NA ,NA ,04-Apr-2023 05:00 PM,24-Apr-2023 10:30 AM,01-Aug-2023 05:05 PM,500.0,Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,All required documents as per Terms and Conditions of tender.,Director of Industries,"Directorate of industries , Majhita House, Chotta Shimla, Shimla , HP","5,00,000",Yes,fixed,,Nil,Nil,1,343223,AMAR TRADERS,23-Apr-2023 12:38 PM,Rejected-AOC,Rejected,14-Mar-2024,Additional Controller of Stores,Internal,Anil Thakur (DDI) Navneet Gupta (SIO Textiles) Dr. Ramesh Chauhan (Govt. Degree College Dhami),Anil Thakur,01-Aug-2023 05:00 PM,01-Aug-2023 05:05 PM,techsummary_108195.pdf (2449.09 KB),14-Mar-2024,"INR 17,408,968",365.0,Anil Thakur,14-Mar-2024 02:08 PM,Rate-contract-U-01.pdf (7089.00 KB),Technical,Bid opening summary.,Anil Thakur,28-Jul-2023 03:20 PM,technical_108195.pdf,Finance,Financial bid opening summary.,Anil Thakur,18-Sep-2023 04:52 PM,finance_108195.pdf,BOQ Comparative Chart,Addtional Controller of Stores.,Internal,Anil Thakur (DDI) Dhian Singh (Supdt. G-I) dev Dutt (Supdt. G-II),Anil Thakur,14-Mar-2024 02:00 PM,finsummary_108195.pdf (11884.12 KB),1.0,342273.0,Rakesh Furniture House,INR,"1,160,597.8666",Industries Department||Directorate of Industries||Store Puchase Orgn,2023_HPInd_71917_1,No. Ind/SP/F/(NIT)148/94-Vol-II,Supply of Sports Goods and Wears (U-01)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule.,,,,,,,,,2,343164,Amit Sports,22-Apr-2023 07:05 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342586.0,M/s Guleria Enterprises,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,343312,BHANU VIGYAN KENDRA,22-Apr-2023 06:00 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342600.0,City Sales,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,342600,City Sales,22-Apr-2023 07:37 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,342933.0,Rajindera Traders,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,343690,Daler Khan Prop. J S Scientific Supplier,23-Apr-2023 03:27 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,343159.0,prime sports,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,343735,DOGRA HOSIERY,23-Apr-2023 04:49 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,343164.0,Amit Sports,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,343699,dogra vastra udyog,23-Apr-2023 05:04 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,343165.0,SATISH SPORTS SCIENTIFIC WORKS GENERAL ORDER SUPPLIERS,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,343671,ENBEE Enterprises,22-Apr-2023 09:44 PM,Rejected-AOC,Rejected,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,343247.0,SPECTRUM INSTRUMENTS,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,343308,M/S A.K. Enterprises,22-Apr-2023 06:27 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,343308.0,M/S A.K. Enterprises,INR,"1,160,597.8666",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,342586,M/s Guleria Enterprises,22-Apr-2023 06:12 PM,Accepted-AOC,Accepted,14-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,343312.0,BHANU VIGYAN KENDRA,INR,"1,160,597.8666",,,,
