Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,RD-AB-Tender/23-24-8091-8190 Dt.23.8.23,2023_PWD_78957_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,"13,000",No,fixed,,Nil,Nil,20-Sep-2023 06:00 PM,28-Sep-2023 11:00 AM,20-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,NA ,NA ,20-Sep-2023 06:00 PM,27-Sep-2023 06:00 PM,06-Oct-2023 01:00 PM,EE HPPWD ROHRU,EE HPPWD ROHRU,C O Madharli to Karchhari via Shallan road km 0.0 to 12.200,SH R Wall at RD. 0.570 to 0.630,Please refer Tender documents. ,NA ,"6,48,310",Civil Works,NA ,Tender,45.0,60.0,Rohru,171207.0,NA ,NA ,NA ,Rohru,No ,No,1.0,Corringendum,Other,,ER. Prash Chauhan,Internal,"Er. Satish Thakur , Naveen Chauhan , Vijay chaunan",Chuni Lal Azad,06-Oct-2023 11:35 AM,06-Oct-2023 01:00 PM,techsummary_117712.pdf (364.77 KB),PWD,2023_PWD_78957_2,RD-AB-Tender/23-24-8091-8190 Dt.23.8.23,C O Madharli to Karchhari via Shallan road km 0.0 to 12.200,16-Mar-2024,"INR 648,310",60.0,Paresh Chauhan,16-Mar-2024 02:53 PM,summert.pdf (284.00 KB),AOC,Er.Paresh,Internal,Er.Satrish,Paresh Chauhan,16-Mar-2024 02:52 PM,finsummary_117712.pdf (524.79 KB),1.0,373775.0,VIPIN KAPTA,25-Sep-2023 05:14 PM,Accepted-AOC,AOC,16-Mar-2024,Technical,summery,Chuni Lal Azad,06-Oct-2023 10:57 AM,technical_117712.pdf,1.0,373775.0,VIPIN KAPTA,INR,"648,310",Finance,Summeryh,Chuni Lal Azad,06-Oct-2023 05:23 PM,finance_117712.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Earnest money under general rule 24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,374139.0,VIRENDER,25-Sep-2023 05:31 PM,Rejected-Finance,accepted,16-Mar-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect as General rule No. 12.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important doucments as specified by the stat e in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number as per general rule 1.2B(a)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
