Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
Executive Engineer B and R Division HPPWD Solan,near new bus stand solan,PWD,No. 15473-80 dated 23.02.2024,2024_PWD_87442_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,28-Feb-2024 06:15 PM,04-Mar-2024 06:30 PM,28-Feb-2024 06:15 PM,04-Mar-2024 06:20 PM,NA ,NA ,28-Feb-2024 06:15 PM,04-Mar-2024 06:20 PM,11-Mar-2024 11:00 AM,"5,000",Nil,Nil,No,"2,42,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,1. Cost of tender and earnest money indicate in Schedule F General Rule NO. 24.1,Construction of Government Primary School at Salogra Distt. Solan (HP),"C/o building portion, rain water harvesting tank site development, etc.",Please refer Tender documents. ,NA ,"1,21,24,695",Civil Works,NA ,Tender,90.0,365.0,Solan,173212.0,NA ,NA ,NA ,Solan B and R division,No ,No,1.0,ICICI BANK,PWD,2024_PWD_87442_1,No. 15473-80 dated 23.02.2024,Construction of Government Primary School at Salogra Distt. Solan (HP),"Er. Ravi Bhatti, Executive Engineer",Internal,"shri satish sharma, D.A.O. shri Deepak Walia, Supdt Gr-II",Shubham Aggarwal,08-Mar-2024 12:53 PM,11-Mar-2024 11:00 AM,techsummary_129931.pdf (484.82 KB),Er Ravi Bhatti Executive Engineer,Internal,"Sh. Satish Sharma, DAO, Sh. Deepak Walia, Supdt Gr-II",Shubham Aggarwal,11-Mar-2024 12:30 PM,finsummary_129931.pdf (264.29 KB),18-Mar-2024,"INR 10,252,642",365.0,Ravi Bhatti,22-Mar-2024 11:38 AM,AOC.pdf (283.00 KB),AOC,Finance,Financial bid opening summary,Shubham Aggarwal,11-Mar-2024 11:32 AM,finance_129931.pdf,BOQ Comparative Chart,1.0,413660.0,suman kumar sharma,INR,"10,252,642",1.0,414507.0,Ankush Negi,04-Mar-2024 04:52 PM,Rejected-Technical,Contractor has not fulfill the criteria,08-Mar-2024,Technical,TECHNICAL BID OPENING,Shubham Aggarwal,08-Mar-2024 12:46 PM,technical_129931.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. Contractors registration refers general rules and directions No 24.3 of SBD.,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,413667.0,BHUPENDER SINGH THAKUR,02-Mar-2024 02:45 PM,Rejected-Finance,L2,11-Mar-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. GST registration refers general rules and Directions no 24.4 of SBD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,413651.0,Rajesh Sahni,02-Mar-2024 12:39 PM,Rejected-Technical,Contractor has not fulfill the criteria,08-Mar-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Work done certificate and work in hand certificate refer in general rules No 24.5 schedule F Note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,413660.0,suman kumar sharma,04-Mar-2024 02:19 PM,Accepted-AOC,Award of contract,22-Mar-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,414528.0,Vinay Thakur,04-Mar-2024 05:34 PM,Rejected-Technical,Contractor has not fulfill the criteria,08-Mar-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. Affidavits of correctness of all the documents are submitted is true by the Contractor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Work done condition one similar nature of work not less than 40 percent of the estimated cost as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload PDF documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
