S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,11-May-2022 05:00 PM,20-May-2022 03:30 PM,11-May-2022 05:00 PM,20-May-2022 03:00 PM,NA ,NA ,11-May-2022 05:00 PM,20-May-2022 03:00 PM,30-May-2022 11:30 AM,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,"Construction of Additional Accommodation at Govt. High School Dagoh, District Chamba",C/O 2 No. Rooms,Please refer Tender documents. ,NA ,"34,11,027",Civil Works,NA ,Tender,75.0,365.0,Dalhousie,176304.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Dalhousie,No ,No,Executive Engineer,Executive Engineer HPPWD Division Dalhousie,PWD,EE Dalahousie Letter No. 2808-58 dated 30-04-2022,2022_PWD_60538_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"68,300",No,fixed,,Nil,Nil,AOC,1.0,283043.0,AASTHA CONSTRUCTION COMPANY,20-May-2022 12:32 PM,Accepted-AOC,Working in Progress,23-Mar-2023 05:53 PM,Technical,Bid Opening Summary,Deepak Mahajan,25-May-2022 04:17 PM,technical_91450.pdf,1.0,283043.0,AASTHA CONSTRUCTION COMPANY,INR,"3,538,940.47",Finance,summary,Harsh Puri,23-Mar-2023 05:39 PM,finance_91450.pdf,BOQ Comparative Chart,PWD,2022_PWD_60538_1,EE Dalahousie Letter No. 2808-58 dated 30-04-2022,"Construction of Additional Accommodation at Govt. High School Dagoh, District Chamba",Executive Engineer,Internal,Tender Assistant Superintendent HDM DAO,Deepak Mahajan,25-May-2022 04:21 PM,30-May-2022 11:30 AM,techsummary_91450.pdf (707.64 KB),Executive Engineer,Internal,TA HDM Supdtt DAO EE,Harsh Puri,23-Mar-2023 05:44 PM,finsummary_91450.pdf (188.56 KB),23-Mar-2023,"INR 3,598,940.47",365.0,Harsh Puri,23-Mar-2023 05:52 PM,aoc.pdf (1207.00 KB),AOC,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,282872.0,akshay sharma government contractor,19-May-2022 01:19 PM,Rejected-Technical,Non Responsive,25-May-2022 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,282966.0,ANKIT MAHAJAN,19-May-2022 07:55 PM,Rejected-Technical,Non Responsive,25-May-2022 04:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,283049.0,Robin Mahajan,20-May-2022 12:46 PM,Rejected-Finance,Other Then Lowest,23-Mar-2023 05:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,List of technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,.pdf,Work experience as per clause 26.2 b of general and direction and as per schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
