Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
500.0,Nil,Nil,No,1.0,ICICI BANK,PWD,Elect. Division HPPWD Palampur,2022_PWD_55566_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O War Museum at Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm System and Fire fighting system therein),C/O War Museum at Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm System and Fire fighting system therein),Please refer Tender documents. ,NA ,"17,19,898",Electrical Works,NA ,Tender,120.0,30.0,"Dharamshala, Distt. Kangra",176215.0,NA ,NA ,NA ,Palampur,No ,No,1.0,Fee/PreQual/Technical,.pdf,receipt of online payment regarding cost of bid documents and earnest money deposited,Executive Engineer,Elect. Division HPPWD Palampur,"33,300",No,fixed,,Nil,Nil,11-Jan-2022 06:00 PM,19-Jan-2022 11:30 AM,11-Jan-2022 06:00 PM,19-Jan-2022 10:00 AM,NA ,NA ,11-Jan-2022 06:00 PM,19-Jan-2022 10:00 AM,07-Feb-2022 11:30 AM,AOC,1.0,255681.0,AVNET SOLUTIONS,16-Jan-2022 12:23 PM,Rejected-Finance,L3,08-Mar-2023 06:21 PM,Technical,as per uploaded document,Dalip singh Patial,05-Feb-2022 03:34 PM,technical_83329.pdf,Finance,as per uploaded document,Dalip singh Patial,08-Mar-2023 06:19 PM,finance_83329.pdf,BOQ Comparative Chart,1.0,255431.0,Sudha Kumari,INR,"1,961,200",Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atula Nag JDM,Dalip singh Patial,05-Feb-2022 03:36 PM,07-Feb-2022 11:30 AM,techsummary_83329.pdf (287.85 KB),PWD,2022_PWD_55566_2,Elect. Division HPPWD Palampur,C/O War Museum at Dharamshala Distt. Kangra (HP) (SH- Providing Fire Alarm System and Fire fighting system therein),08-Mar-2023,"INR 1,719,898",30.0,Dalip singh Patial,08-Mar-2023 06:23 PM,WarMuseum.pdf (990.00 KB),527-32 dt 22.04.2022,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,08-Mar-2023 06:21 PM,finsummary_83329.pdf (22.81 KB),AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,certificate of OEM/authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,AOC,2.0,255569.0,Insat Techno Services,16-Jan-2022 12:35 PM,Rejected-Finance,L2,08-Mar-2023 06:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,AOC,3.0,255431.0,Sudha Kumari,16-Jan-2022 07:53 PM,Accepted-AOC,L1,08-Mar-2023 06:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover as per tender document page-147,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Datasheet regarding makes and models as per BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,similar nature of work done as per tender document page-147,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
