Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
27-Mar-2023,"INR 2,664,666",180.0,Hoshiar Singh,10-Oct-2023 09:17 AM,ajay78.pdf (1355.00 KB),Award letter,Technical,summary cover-1,Sandeep Chaudhary,13-Mar-2023 11:19 AM,technical_105211.pdf,Finance,summary,Sandeep Chaudhary,20-Mar-2023 06:46 PM,finance_105211.pdf,BOQ Comparative Chart,1,332981,ABHINAV DHIMAN,08-Mar-2023 05:11 PM,Rejected-Finance,L12,20-Mar-2023,Er. Sandeep Chaudhary EE,Internal,"Dinesh Kumar Sr. DAO, Kelash HDM and Varinder Supdt.",Sandeep Chaudhary,13-Mar-2023 11:22 AM,13-Mar-2023 11:25 AM,techsummary_105211.pdf (670.95 KB),1.0,331886.0,Ajay Kumar Bassi,INR,"1,955,370","HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2023_HPIPH_69756_1,EE-JSD-Amb-200 HDPE pipe various dia,"Improvement of LIS Saloi in Tehsil Amb, Distt. Una (HP)",ER. Sandeep Chaudhary EE JSV Amb,Internal,"Dinesh Kumar DAO , Kelash HDM and Varinder Supdt Gr.II",Sandeep Chaudhary,20-Mar-2023 06:59 PM,finsummary_105211.pdf (587.67 KB),400.0,EE JS Division Amb,Amb,No,1.0,corrigendum of date,Date,,1.0,ICICI BANK,Executive Engineer,"Jal Shakti Division Amb, Distt. Una (HP)","47,470",Yes,fixed,,EE JS Division Amb,Amb,1.0,Fee/PreQual/Technical,.pdf,Copy of Registration as per NIT condition No. 2 (i),"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",EE-JSD-Amb-200 HDPE pipe various dia,2023_HPIPH_69756_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Improvement of LIS Saloi in Tehsil Amb, Distt. Una (HP)","Sub-Head Providing laying, jointing and testing of HDPE pipe various dia of distribution system , C/O 1 No. Delivery tank and C/O 16 Nos. out lets) Job No.III",Please refer Tender documents. ,NA ,"26,64,666",Civil Works,NA ,Tender,120.0,180.0,Amb,177203.0,NA ,NA ,NA ,Amb,No ,No,27-Feb-2023 05:00 PM,09-Mar-2023 11:30 AM,27-Feb-2023 05:00 PM,09-Mar-2023 11:00 AM,NA ,NA ,27-Feb-2023 05:00 PM,09-Mar-2023 11:00 AM,13-Mar-2023 11:25 AM
,,,,,,,,,,,,,,,,,,2,330685,aditya govt. contractor,02-Mar-2023 08:49 PM,Not Admitted-Finance,Price Bid not complied,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender cost and Earnest money as per NIT condition No.2 (ii and iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,331886,Ajay Kumar Bassi,05-Mar-2023 07:25 PM,Accepted-AOC,Due to L 1,10-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN, GST and ITR as per NIT condition No. 2 (iv)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,332640,Anil Kumar,09-Mar-2023 10:35 AM,Rejected-Finance,L9,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"undertaking i.e DSC, studied all conditions and labour as per NIT 2 (v,vi and vii)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,331778,ASHWANI KUMAR,05-Mar-2023 12:46 PM,Not Admitted-Finance,Price Bid not complied,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form No.6 and 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6,331764,Dinesh Kumar,05-Mar-2023 12:19 PM,Rejected-Finance,L4,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,7,332108,Gulrez Mohammed,06-Mar-2023 02:19 PM,Rejected-Finance,L8,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Schedule of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8,331881,Jaiveer Singh,05-Mar-2023 07:01 PM,Rejected-Finance,L3,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9,331640,Parvesh Kumar Sharma,04-Mar-2023 04:30 PM,Rejected-Finance,L2,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10,331874,Ritik Choudhary,05-Mar-2023 07:44 PM,Rejected-Finance,L11,20-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
