Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
08-Feb-2023 09:00 AM,14-Feb-2023 11:00 AM,08-Feb-2023 09:00 AM,14-Feb-2023 10:30 AM,NA ,NA ,08-Feb-2023 09:00 AM,14-Feb-2023 10:30 AM,22-Feb-2023 11:30 AM,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur,Construction of Residedential accommodation TypeIV Quarter 1 No TypeIII Qtr 4 Nos and TypeII Qtr 12 Nos of SV and ACB in Police Line Hamirpur at Dosarka,SH Construction of approach road SV and ACB Residence and Police Station,Please refer Tender documents. ,NA ,"9,95,150",Civil Works,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"20,000",No,fixed,,Nil,Nil,PWD,C/O Residedential accommodation Police line HMR,2023_PWD_68378_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1.0,322303.0,Avtar Singh,13-Feb-2023 04:16 PM,Accepted-AOC,l1,07-Mar-2023 07:41 AM,Technical,Attached,Deepak Kapil,21-Feb-2023 07:30 PM,technical_102927.pdf,1.0,322303.0,Avtar Singh,INR,"895,136.53",Finance,Attached,Sanjay Katoch,01-Mar-2023 06:36 PM,finance_102927.pdf,BOQ Comparative Chart,PWD,2023_PWD_68378_1,C/O Residedential accommodation Police line HMR,Construction of Residedential accommodation TypeIV Quarter 1 No TypeIII Qtr 4 Nos and TypeII Qtr 12 Nos of SV and ACB in Police Line Hamirpur at Dosarka,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Deepak Kapil,21-Feb-2023 07:58 PM,22-Feb-2023 11:30 AM,techsummary_102927.pdf (1390.66 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Sanjay Katoch,01-Mar-2023 06:38 PM,finsummary_102927.pdf (500.92 KB),07-Mar-2023,"INR 895,137",30.0,Sanjay Katoch,07-Mar-2023 07:40 AM,AvtarAward.pdf (868.00 KB),Award,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,AOC,2.0,322512.0,Gulam mohammad,13-Feb-2023 08:47 PM,Rejected-Finance,l2,01-Mar-2023 06:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,AOC,3.0,322600.0,JAMEEL KHAN GOVT CONTRACTOR,14-Feb-2023 09:43 AM,Rejected-Technical,Rejected,21-Feb-2023 07:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,AOC,4.0,322095.0,MUKESH CHAND,13-Feb-2023 06:01 PM,Rejected-Technical,Rejected,21-Feb-2023 07:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement with Monthly contribution Challan,,,,,,,,,,,,,,,,,,,,,AOC,5.0,322437.0,Pawas Soni,13-Feb-2023 06:19 PM,Rejected-Technical,Rejected,21-Feb-2023 07:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,AOC,6.0,322490.0,Sourav Thakur,14-Feb-2023 08:18 AM,Rejected-Technical,Rejected,21-Feb-2023 07:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,AOC,7.0,322615.0,sumeet contractor,14-Feb-2023 09:39 AM,Rejected-Finance,l3,01-Mar-2023 06:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery",,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
