Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
EXECUTIVEENGINEER,Internal,SUPDT HDM DAO,Krishan Bhardwaj,11-Mar-2023 03:37 PM,finsummary_104142.pdf (664.96 KB),11-Mar-2023,"INR 823,500",60.0,Krishan Bhardwaj,11-Mar-2023 04:37 PM,69093AWARD.pdf (761.00 KB),AWARDATTACHED,PWD,2023_PWD_69093_1,PWTDD-GA-NIT-22-23-16911-19 DT. 13.2.2023,Restoration of rain damages on Chamardi Daddar road via Baloh km. 0/00 to 4/00,EXECUTIVEENGINEER,Internal,SUPDT DAO HDM,Krishan Bhardwaj,28-Feb-2023 06:06 PM,01-Mar-2023 11:30 AM,techsummary_104142.pdf (1817.20 KB),Finance,SUMMARYATTACHED,Krishan Bhardwaj,11-Mar-2023 03:26 PM,finance_104142.pdf,BOQ Comparative Chart,1.0,325684.0,AKKA RAM,INR,"823,500",Technical,SUMMARYATTACHED,Krishan Bhardwaj,28-Feb-2023 05:33 PM,technical_104142.pdf,1.0,325684.0,AKKA RAM,20-Feb-2023 04:57 PM,Accepted-AOC,WORKAWARD,11-Mar-2023 04:37 PM,AOC,350.0,Nil,Nil,No,Restoration of rain damages on Chamardi Daddar road via Baloh km. 0/00 to 4/00,SH PL 2cm thick premix carpet with seal coat at RD 0000 to 0900,Please refer Tender documents. ,NA ,"7,86,443",Civil Works,NA ,Tender,60.0,60.0,TAUNI DEVI,177023.0,NA ,NA ,NA ,TAUNI DEVI,No ,No,PWD,PWTDD-GA-NIT-22-23-16911-19 DT. 13.2.2023,2023_PWD_69093_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form only mode through e-payment,EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi",1.0,ICICI BANK,16-Feb-2023 06:50 PM,22-Feb-2023 11:00 AM,16-Feb-2023 06:50 PM,22-Feb-2023 09:00 AM,NA ,NA ,16-Feb-2023 06:55 PM,22-Feb-2023 09:00 AM,01-Mar-2023 11:30 AM,"15,750",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325691.0,Anoop Kumar,20-Feb-2023 05:02 PM,Rejected-Finance,L2,11-Mar-2023 03:37 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,326352.0,MOHINDER PAL GOVT. CONTRACTOR,21-Feb-2023 05:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Feb-2023 05:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w TCC",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,326342.0,SANJEEV KUMAR GOVT CONTRACTOR,21-Feb-2023 04:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,28-Feb-2023 05:33 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 7, 8 duly signed by the contractor (General Rule No.26.7)",,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate during last five year and Work In Hand Certificate duly signed by the concern,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid are correct (Name of works,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 26.1),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder should must be uploaded working programme,,,,,,,,,,,,,,,,,,,,AOC
