Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
11-Mar-2023,"INR 29,152,254",730.0,Krishan Bhardwaj,11-Mar-2023 04:15 PM,68742AWARD.pdf (1524.00 KB),AWARDATTACHED,EXECUTIVEENGINEER,Internal,SUPDT HDM DAO,Krishan Bhardwaj,03-Mar-2023 12:54 PM,finsummary_103655.pdf (555.32 KB),EXECUTIVEENGINEER,Internal,SUPDT HDM DAO,Krishan Bhardwaj,22-Feb-2023 04:06 PM,27-Feb-2023 11:30 AM,techsummary_103655.pdf (1949.31 KB),PWD,2023_PWD_68742_1,PWTDD-GA-NIT-22-23- 16719-20 DT. 09.02.2023,Construction of link road from Bajrol to Chamerda via Lamber road Km 0/0 to 3/500,Technical,SUMMARYATTACHED,Krishan Bhardwaj,22-Feb-2023 04:01 PM,technical_103655.pdf,1.0,324376.0,anil thakur,17-Feb-2023 12:19 PM,Rejected-Finance,L5,03-Mar-2023 12:54 PM,Finance,SUMMARYATTACHED,Krishan Bhardwaj,03-Mar-2023 12:34 PM,finance_103655.pdf,BOQ Comparative Chart,1.0,324334.0,PARDEEP KUMAR GOVT. CONTRACTOR,INR,"29,152,254",AOC,Construction of link road from Bajrol to Chamerda via Lamber road Km 0/0 to 3/500,SH ROFD Cross drainage work GSB WBM GII GIII Tarring Paver block Road Side VShape drain Parapets and sign board and KM stone ic 5 years of routine maintenance Under NABARD RIDF XXVIII,Please refer Tender documents. ,NA ,"3,77,01,118",Civil Works,NA ,Rate Contract,75.0,730.0,TAUNI DEVI,177023.0,NA ,NA ,NA ,TAUNI DEVI,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of Earnest Money and Bid security only mode through e-payment,"5,000",Nil,Nil,No,"7,54,000",No,fixed,,Nil,Nil,11-Feb-2023 05:00 PM,20-Feb-2023 11:00 AM,13-Feb-2023 10:00 AM,18-Feb-2023 10:30 AM,NA ,NA ,13-Feb-2023 10:30 AM,18-Feb-2023 10:30 AM,27-Feb-2023 11:30 AM,1.0,ICICI BANK,EXECUTIVE ENGINEER,"Executive Engineer, Tauni Devi Division, HP.PWD., Tauni Devi",PWD,PWTDD-GA-NIT-22-23- 16719-20 DT. 09.02.2023,2023_PWD_68742_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,325076.0,ASHOK KUMAR THAKUR GOVT CONTRACTOR,18-Feb-2023 12:08 AM,Rejected-Finance,L3,03-Mar-2023 12:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I- Section -3 (1.1),,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,325040.0,MSC Roads and Bridges Private Limited,17-Feb-2023 05:38 PM,Rejected-Finance,L6,03-Mar-2023 12:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST, PAN, EPF, Labour license a/w copy of latest returns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,323502.0,PANKAJ KUMAR,17-Feb-2023 05:33 PM,Not Admitted-Finance,Others-Non Responsive due to name of Bidder mismatch,03-Mar-2023 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,As per Section 2 (4.2 a to k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,324334.0,PARDEEP KUMAR GOVT. CONTRACTOR,17-Feb-2023 12:35 PM,Accepted-AOC,WORKAWARD,11-Mar-2023 04:16 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"As per Section 2 (4.3, 4.4 a, b)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,324328.0,Piar Chand Chauhan,17-Feb-2023 11:47 AM,Rejected-Finance,L4,03-Mar-2023 12:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,As per section 3 (1.1 to 1.10) as required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,324955.0,Rajinder Rana,17-Feb-2023 02:25 PM,Rejected-Finance,L2,03-Mar-2023 12:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An undertaking showing that the site has visited by the contractors/ firms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,325082.0,SUMESH KUMAR,18-Feb-2023 12:46 AM,Rejected-Finance,L7,03-Mar-2023 12:54 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Bid for Part-I of the bid as per Section-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid for Part-II of the bid as per section-6 a/w item rates offered by the Employer for R/M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/ firm may likes to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
