Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
08-Feb-2023,"INR 713,572",90.0,Jai Lal Kanta,23-Mar-2023 04:43 PM,Scan1.PDF (286.00 KB),AOC,Er. Prem Dass Narwal,Internal,"Rajiv Sharma Supdt Gr-ii, Pawan Kumar Sr. Asstt, Neelam Kumari JDM",Prem Dass,01-Nov-2022 06:14 PM,finsummary_99034.pdf (125.31 KB),Er Prem Dass,Internal,"Rajiv Sharma Supdt Gr-ii, Pawan Kumar Sr. Asstt, Neelam Kumari JDM",Prem Dass,18-Oct-2022 09:13 AM,18-Oct-2022 09:30 AM,techsummary_99034.pdf (146.87 KB),PWD,2022_PWD_65812_3,PW/SRN/CB/TENDER/2022-10321 dated 30.09.2022,R/R damages Machher Jabiyana wasni road km 0/0 to 9/0 (SHC/O PCC R/Wall from 2/563 to 2/573,Finance,summary,Prem Dass,18-Oct-2022 10:16 AM,finance_99034.pdf,BOQ Comparative Chart,1.0,306919.0,Rajender Kumar,INR,"837,032",Technical,SUMMARY,Prem Dass,17-Oct-2022 06:50 PM,technical_99034.pdf,1.0,307252.0,AJEET SINGH,08-Oct-2022 05:56 PM,Accepted-AOC,awarded,23-Mar-2023 04:46 PM,AOC,PWD,PW/SRN/CB/TENDER/2022-10321 dated 30.09.2022,2022_PWD_65812_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,Yes,30-Sep-2022 05:40 PM,10-Oct-2022 11:30 AM,30-Sep-2022 05:45 PM,10-Oct-2022 10:30 AM,NA ,NA ,30-Sep-2022 05:45 PM,10-Oct-2022 10:30 AM,18-Oct-2022 09:30 AM,"18,500",No,fixed,,Nil,Nil,EE HPPWD Sarahan,"Executive Engineer HP.PWD, Division",1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,R/R damages Machher Jabiyana wasni road km 0/0 to 9/0 (SHC/O PCC R/Wall from 2/563 to 2/573,R/R damages Machher Jabiyana wasni road km 0/0 to 9/0 (SH C/O PCC R/Wall from 2/563 to 2/573,Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,90.0,HPPWD Sarahan,173024.0,NA ,NA ,NA ,HPPWD Sarahan,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,307252.0,AJEET SINGH,INR,"713,572",,,,,,2.0,307241.0,Bhaskar Dutt,08-Oct-2022 04:37 PM,Rejected-Finance,L5,01-Nov-2022 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,306978.0,Jagmohan Singh,07-Oct-2022 04:39 PM,Rejected-Finance,L7,01-Nov-2022 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,307182.0,Pankaj,08-Oct-2022 02:35 PM,Rejected-Finance,L4,01-Nov-2022 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,306919.0,Rajender Kumar,07-Oct-2022 04:13 PM,Accepted-AOC,L6,23-Mar-2023 04:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer Ge",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,307430.0,Sunil kumar,10-Oct-2022 09:23 AM,Rejected-Finance,L3,01-Nov-2022 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,307397.0,Vikram Thakur,09-Oct-2022 03:25 PM,Rejected-Finance,L2,01-Nov-2022 06:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,AOC
