Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,BGN/CT-1/2022-23-11425-50 dated 22.02.2023,2023_PWD_69590_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,"1,500",Nil,Nil,No,Periodical Maintenance on Bangana Thathoon road via Tamlet in Km 0000 to 1300 and Link road from UAM Road to Village Muchalli in Km 0000 to 1000 SH PL 30mm thick Bituminous Concrete including Profile Correction,Periodical Maintenance on Bangana Thathoon road via Tamlet in Km 0000 to 1300 and Link road from UAM Road to Village Muchalli in Km 0000 to 1000 SH PL 30mm thick Bituminous Concrete including Profile Correction,Please refer Tender documents. ,NA ,"29,05,873",Civil Works - Roads,NA ,Tender,90.0,90.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender form (Online mode) and Earnest Money (Online mode),25-Feb-2023 10:00 AM,09-Mar-2023 11:00 AM,25-Feb-2023 10:30 AM,09-Mar-2023 09:00 AM,NA ,NA ,25-Feb-2023 10:30 AM,09-Mar-2023 09:00 AM,15-Mar-2023 11:00 AM,1.0,ICICI BANK,"51,100",No,fixed,,Nil,Nil,Finance,financialbidopeningsummary,Dev Raj,16-Mar-2023 06:01 PM,finance_104980.pdf,BOQ Comparative Chart,1.0,332363.0,Karan Raj Singh,INR,"2,879,430",1.0,332363.0,Karan Raj Singh,06-Mar-2023 06:52 PM,Accepted-AOC,L1,24-May-2023,Technical,bidopeningsummay,Dev Raj,14-Mar-2023 12:47 PM,technical_104980.pdf,Er. Baldev Singh EE,Internal,DAOHDMSUPDT,Dev Raj,14-Mar-2023 12:51 PM,15-Mar-2023 11:00 AM,techsummary_104980.pdf (455.86 KB),PWD,2023_PWD_69590_1,BGN/CT-1/2022-23-11425-50 dated 22.02.2023,Periodical Maintenance on Bangana Thathoon road via Tamlet in Km 0000 to 1300 and Link road from UAM Road to Village Muchalli in Km 0000 to 1000 SH PL 30mm thick Bituminous Concrete including Profile Correction,31-Mar-2023,"INR 2,879,430",90.0,Dev Raj,24-May-2023 06:06 PM,69590.pdf (530.00 KB),Award,Er.Dev Raj EE,Internal,DAOHDMSUPDT,Dev Raj,16-Mar-2023 06:23 PM,finsummary_104980.pdf (505.81 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. Contractor Registration GST Registration and latest assessment and PAN,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,2.0,332371.0,Rajinder Kumar,06-Mar-2023 07:02 PM,Rejected-Finance,L-2,16-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. E.P.F. No. and copy of latest return filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5. Work in hand certificate on prescribed format given in bidding document duly countersigned by the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. An affidavit that the plant should have installed within radius of 30km from the site of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit Reg no pending litigation with the Department Any other information bidders like to pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
