EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,49,560",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Fee Receipt,08-Dec-2022 09:00 AM,09-Jan-2023 02:30 PM,08-Dec-2022 09:15 AM,09-Jan-2023 02:00 PM,08-Dec-2022 09:30 AM ,19-Dec-2022 11:00 AM ,08-Dec-2022 09:30 AM,09-Jan-2023 02:00 PM,10-Feb-2023 02:30 PM,"6,000",Nil,Nil,No,Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,CE/APART/173/2022/7,2022_PWRDW_28083_3,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,"Chief Engineer, (EAP) PWRD, Assam","O/o The Chief Engineer, (EAP) PWRD, Fatasil Ambari,Guwahati- 781025",1.0,SBI Bank,Road from Goalgaon to Arunamukh via Ajarguri in Jorhat District ROADS/JH-06,"APART/NOCP/ROADS/JH-06 Construction of road from Goalgaon to Arunamukh via Ajarguri of Boriagaon village, Teok Mouza in Jorhat District (length 2.18 KM) under APART",Please refer Tender documents. ,NA ,"3,24,78,000",Civil Works – Roads,NA ,Tender,90.0,270.0,Jorhat District,785104.0,"O/o The Chief Engineer, (EAP) PWRD, Assam ","O/o The Chief Engineer, (EAP) PWRD, Fatasil Ambari,Guwahati- 781025 ",19-Dec-2022 11:00 AM ,"O/o The Chief Engineer, (EAP) PWRD, Assam",No ,No,AOC,Technical,Technical Bids has been opened,Sanjita Bodo,12-Jan-2023 04:47 PM,,"Chief Engineer,(EAP)PWRD,Assam",Internal,"Deputy Secretary(Works),PWRD,CPIU and Superintending Engineer,CE,PWRD(Roads),Assam",Sanjita Bodo,09-Feb-2023 07:37 PM,10-Feb-2023 02:30 PM,techsummary_44689.pdf (3024.16 KB),Public Works Roads Department-Externally Aided Project||Public Works Road Department- World Bank Funded Tenders,2022_PWRDW_28083_3,CE/APART/173/2022/7,Road from Goalgaon to Arunamukh via Ajarguri in Jorhat District ROADS/JH-06,1,171443,Bhaskar Baruah,09-Jan-2023 11:32 AM,Rejected-AOC,Rejected as L2,14-Mar-2023 11:18 AM,AOC
,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,172250,M/S BIMAL KUMAR AGARWALA,09-Jan-2023 12:17 PM,Rejected-AOC,Rejected as L3,14-Mar-2023 11:18 AM,AOC
,,,,,,,,.pdf,Technical Qualification Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3,172090,M/s B.K. Mozika,07-Jan-2023 04:35 PM,Rejected-AOC,Rejected as L6,14-Mar-2023 11:18 AM,AOC
,,,,,,,,.pdf,Letter of Bid (Technical),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,171731,M/S B. L. AGARWALA,08-Jan-2023 10:30 AM,Rejected-AOC,Rejected as L4,14-Mar-2023 11:18 AM,AOC
,,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,172050,M/S K. C. CHHAWCHHARIYA,09-Jan-2023 10:16 AM,Rejected-AOC,Rejected as L7,14-Mar-2023 11:18 AM,AOC
,,,,,,,,.pdf,Letter of Bid (Financial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,171748,M/s R.D.Constructions,08-Jan-2023 09:01 PM,Rejected-AOC,Rejected as L5,14-Mar-2023 11:18 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,171923,Pabitra Boro,07-Jan-2023 06:30 PM,Accepted-AOC,Awarded Contract Bidder,14-Mar-2023 11:18 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,171933,SHYAM SUNDER GATTANI,08-Jan-2023 08:23 PM,Rejected-Technical,As per decision of Bid Evaluation Committee,09-Feb-2023 07:37 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,172068,Sri Manoj Pareek,09-Jan-2023 12:51 PM,Rejected-AOC,Rejected as L8,14-Mar-2023 11:18 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,172153,VARGOV TRAFFIC DEVICE SYSTEMS,09-Jan-2023 11:57 AM,Rejected-Technical,As per decision of Bid Evaluation Committee,09-Feb-2023 07:37 PM,AOC
