Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Technical,Technical bid opening summary,Manoj Sood,13-Mar-2023 05:39 PM,technical_105726.pdf,1.0,332403.0,RAJEEV KUMAR ANAND,08-Mar-2023 11:58 AM,Accepted-AOC,AOC,06-Apr-2023,Finance,Financial bid opening summary,Manoj Sood,15-Mar-2023 04:54 PM,finance_105726.pdf,BOQ Comparative Chart,1.0,332403.0,RAJEEV KUMAR ANAND,INR,"1,451,346",31-Mar-2023,"INR 1,553,989",90.0,Manoj Sood,06-Apr-2023 03:52 PM,70153.pdf (402.00 KB),AOC,"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM,DAO, AE to EE, AE Gopalpur",Manoj Sood,15-Mar-2023 04:57 PM,finsummary_105726.pdf (166.15 KB),"Dr. Suresh Kumar Walia, EE",Internal,"T/A, Supdt, HDM, DAO, AE to EE, AE Gopalpur",Manoj Sood,13-Mar-2023 05:40 PM,14-Mar-2023 12:00 PM,techsummary_105726.pdf (158.39 KB),PWD,2023_PWD_70153_1,EE Plp NIT No. 19932-981 dt 1.3.2023,/O Bhagotla Rajnali Dharer road Km 0/00 to 4/500 (SW - Balance work of approaches of 10.00 mtrs Span RCC Slab Culvert at RD 3/960 on Bhagotla side (Upstream side) and earth filling behind approaches),1.0,ICICI BANK,04-Mar-2023 10:00 AM,09-Mar-2023 11:30 AM,04-Mar-2023 10:00 AM,09-Mar-2023 11:00 AM,NA ,NA ,04-Mar-2023 10:00 AM,09-Mar-2023 11:00 AM,14-Mar-2023 12:00 PM,PWD,EE Plp NIT No. 19932-981 dt 1.3.2023,2023_PWD_70153_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Dr. S.K.Walia, EE",Palampur Division HP.PWD Palampur,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,/O Bhagotla Rajnali Dharer road Km 0/00 to 4/500 (SW - Balance work of approaches of 10.00 mtrs Span RCC Slab Culvert at RD 3/960 on Bhagotla side (Upstream side) and earth filling behind approaches),/O Bhagotla Rajnali Dharer road Km 0/00 to 4/500 (SW - Balance work of approaches of 10.00 mtrs Span RCC Slab Culvert at RD 3/960 on Bhagotla side (Upstream side) and earth filling behind approaches),Please refer Tender documents. ,NA ,"15,53,989",Civil Works - Roads,NA ,Tender,75.0,90.0,Palampuir,176061.0,NA ,NA ,NA ,HP.PWD Division Palampur,No ,No,"31,100",No,fixed,,Nil,Nil
,,,,,2.0,333053.0,Sunita Thakur,09-Mar-2023 08:33 AM,Rejected-Finance,Bidder is found L2,15-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,
