Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
Executive engineer,SDA Complex Block No 27 Kasumpti,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Samah Pamta Block Tilodhar Distt Sirmour,As per DNIT,Please refer Tender documents. ,NA ,"32,59,656",Civil Works - Buildings,NA ,Tender,75.0,365.0,SAMah Pamta Tilordhar,171009.0,NA ,NA ,NA ,Shimla Kasumpti,No ,No,"56,500",No,fixed,,Executive Engineer,Shimla,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,EMD and tender fee,"1,500",Executive Engineer,Shimla,No,15-Feb-2023 11:00 AM,27-Feb-2023 12:00 PM,15-Feb-2023 11:00 AM,25-Feb-2023 05:00 PM,NA ,NA ,15-Feb-2023 11:00 AM,25-Feb-2023 05:00 PM,03-Mar-2023 11:00 AM,Directorate Rural Development and Panchayati Ra,Samah Pamta Tilordhar,2023_DRDPR_68790_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Internal,Members,Rajesh Chandel,03-Mar-2023 12:19 PM,finsummary_103734.pdf (2651.83 KB),1.0,327136.0,SACHIN KAPOOR,INR,"3,298,886",Directorate Rural Development and Panchayati Ra,2023_DRDPR_68790_1,Samah Pamta Tilordhar,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Samah Pamta Block Tilodhar Distt Sirmour,29-Mar-2023,"INR 3,259,656",365.0,Rajesh Chandel,15-Jun-2023 01:24 PM,2023_DRDPR_68790_1.pdf (15098.00 KB),AOC,Finance,BOS,Rajesh Chandel,03-Mar-2023 12:04 PM,finance_103734.pdf,BOQ Comparative Chart,Technical,BOS,Rajesh Chandel,01-Mar-2023 03:24 PM,technical_103734.pdf,Executive Engineer,Internal,Members,Rajesh Chandel,01-Mar-2023 03:33 PM,03-Mar-2023 11:00 AM,techsummary_103734.pdf (2651.83 KB),1,326430,Anil Kumar,21-Feb-2023 06:57 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,GST registration EPF no and PAN no. Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,326277,Balbir Singh,21-Feb-2023 06:36 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,328722,DHANVEER SINGH,25-Feb-2023 11:26 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that there is not more than 2 works of this department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,328277,DHARAM SINGH,23-Feb-2023 07:20 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,328355,Gian Singh Chauhan,23-Feb-2023 11:11 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,328875,Gulab Singh,24-Feb-2023 08:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,328165,JAGDISH,25-Feb-2023 03:42 PM,Rejected-AOC,L2,15-Jun-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,326243,Kuldeep Singh,24-Feb-2023 02:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,329066,MADAN SINGH,25-Feb-2023 01:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,327153,MITHLESH CHAUHAN,22-Feb-2023 04:22 PM,Rejected-AOC,L3,15-Jun-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,327146,munshi ram,22-Feb-2023 05:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,328995,Naveen rana,25-Feb-2023 11:56 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,326169,PRAVESH KUMAR,21-Feb-2023 12:09 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2023
