Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",04-Mar-2023 09:00 AM,10-Mar-2023 11:00 AM,04-Mar-2023 09:00 AM,09-Mar-2023 06:00 PM,NA ,NA ,04-Mar-2023 09:00 AM,09-Mar-2023 06:00 PM,15-Mar-2023 09:00 AM,350.0,Nil,Nil,No,PWD,SD-III-T-29473-93dt.28-2-23,2023_PWD_70151_11,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),1.0,ICICI BANK,"A/R and M/O various residential buildings under Divison No.III Shimla. (SH- Repair of bath / W.C. , wall lining etc ad sanitary fittings in block -2 at U.S. Club Shimla).","A/R and M/O various residential buildings under Divison No.III Shimla. (SH- Repair of bath / W.C. , wall lining etc ad sanitary fittings in block -2 at U.S. Club Shimla).",As per SBD ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,30.0,U.S.Club,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"4,590",No,fixed,,Nil,Nil,1.0,332645.0,RAJINDER SINGH VERMA,INR,"235,251",22-Mar-2023,"INR 235,251",30.0,Bhupender Singh,28-Apr-2023 10:31 AM,47.pdf (476.00 KB),AOC,PWD,2023_PWD_70151_11,SD-III-T-29473-93dt.28-2-23,"A/R and M/O various residential buildings under Divison No.III Shimla. (SH- Repair of bath / W.C. , wall lining etc ad sanitary fittings in block -2 at U.S. Club Shimla).",PKVermaE.E.,Internal,SanjeevChauhanSupdt.PadamSharmaHDMDeepakSharmaSr.DAO,Parveen Kumar Verma,16-Mar-2023 04:20 PM,finsummary_105745.pdf (507.06 KB),Finance,BOS,Bhupender Singh,15-Mar-2023 01:42 PM,finance_105745.pdf,BOQ Comparative Chart,1.0,332334.0,Ajay Thakur,06-Mar-2023 06:09 PM,Rejected-Finance,L2,16-Mar-2023,ParveenKumarE.E.,Internal,SanjeevChauhanSupdt.PadamSharmaHDMDeepakSharmaSr.DAO,Parveen Kumar Verma,14-Mar-2023 06:32 PM,15-Mar-2023 09:00 AM,techsummary_105745.pdf (1170.67 KB),Technical,Bid Opening Summary,Parveen Kumar Verma,14-Mar-2023 02:47 PM,technical_105745.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,332645.0,RAJINDER SINGH VERMA,07-Mar-2023 04:54 PM,Accepted-AOC,L1,28-Apr-2023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact detail with Mobile Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
