Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68839_1,184619/2022-23-8389-94 Dated 09-02-2023,Tender for replacement of 13 Nos rotten wooden poles from 3-pole Structure to 63 KVA S/STN.Magrugala and Chhathnal (E) Section Chhatri-1st UESD HPSEBL Chhatri.,1.0,325512.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,INR,"266,447.78","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,25-Mar-2023 03:08 PM,finsummary_103825.pdf (488.94 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Ravinder Kumar,24-Mar-2023 03:16 PM,24-Mar-2023 03:20 PM,techsummary_103825.pdf (477.53 KB),1.0,325512.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,06-Mar-2023 10:29 AM,Accepted-AOC,Awarded to M/S Kamaksha Power project (L-1) which found single bidder and lowest.,29-Mar-2023 03:25 PM,27-Mar-2023,"INR 300,679",30.0,Sushil Kumar,29-Mar-2023 03:22 PM,award148mageugala.pdf (1901.00 KB),Awarded to M/S Kamaksha Power project (L-1) which found single bidder and lowest.,Finance,Financial bid opened by tender committee.,Sushil Kumar,25-Mar-2023 03:02 PM,finance_103825.pdf,BOQ Comparative Chart,Technical,Financial bid opened by tender committee.,Ravinder Kumar,24-Mar-2023 03:10 PM,technical_103825.pdf,AOC,1.0,Date Corrigendum-4,Date,,590.0,Nil,Nil,No,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog","7,517",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8389-94 Dated 09-02-2023,2023_HPSEB_68839_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,14-Feb-2023 05:00 PM,06-Mar-2023 12:30 PM,14-Feb-2023 05:00 PM,06-Mar-2023 10:30 AM,NA ,NA ,14-Feb-2023 05:00 PM,06-Mar-2023 10:30 AM,24-Mar-2023 03:20 PM,Tender for replacement of 13 Nos rotten wooden poles from 3-pole Structure to 63 KVA S/STN.Magrugala and Chhathnal (E) Section Chhatri-1st UESD HPSEBL Chhatri.,Tender for replacement of 13 Nos rotten wooden poles from 3-pole Structure to 63 KVA S/STN.Magrugala and Chhathnal (E) Section Chhatri-1st UESD HPSEBL Chhatri.,Please refer tender document  ,N/A ,"3,00,680",Supply and Erection,Electrical work ,Tender,180.0,30.0,Chhatri,175014.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
