S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,327070.0,Ravinder Kumar,INR,"15,261,272",Finance,Summary,Arun Vashisht,27-Mar-2023 02:14 PM,finance_103357.pdf,BOQ Comparative Chart,Technical,Summary,Arun Vashisht,02-Mar-2023 03:32 PM,technical_103357.pdf,1.0,325792.0,ARUN KUMAR,22-Feb-2023 02:01 PM,Rejected-Finance,Reject,27-Mar-2023 02:25 PM,27-Mar-2023,"INR 13,848,139",365.0,Arun Vashisht,27-Mar-2023 02:32 PM,AWARDCHANDBEH.pdf (1519.00 KB),AOC,SE,Internal,DAO EE (F) EE(D),Arun Vashisht,27-Mar-2023 02:25 PM,finsummary_103357.pdf (546.48 KB),SE,Internal,DAO EE Fatehpur EE (Design)Nurpur,Arun Vashisht,02-Mar-2023 03:44 PM,06-Mar-2023 11:00 AM,techsummary_103357.pdf (7099.17 KB),PWD,2023_PWD_68572_1,SEIX/WS/E-TENDER/22-23-7760-69 DT 4.2.23,"Construction of Chandbeh Baruna Bhawarna road km. 0.0 to 2.090 SH Formation cutting, Retaining walls, Cross Drainage Works, GSB, WBM.II, WBM.III, Tarring, Cement Concrete Pavement, Drain, Parapet and road furniture including five years routine mainte",AOC,PWD,SEIX/WS/E-TENDER/22-23-7760-69 DT 4.2.23,2023_PWD_68572_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"5,000",Nil,Nil,No,SUPERINTENDING ENGINEER 9TH CIRCLE HPPWD NURPUR,SUPERINTENDING ENGINEER 9TH CIRCLE HPPWD NURPUR,"4,37,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of document of online payment on account of Bid document as per Section 1(2),10-Feb-2023 10:00 AM,24-Feb-2023 11:00 AM,13-Feb-2023 10:00 AM,23-Feb-2023 05:00 PM,NA ,NA ,13-Feb-2023 10:00 AM,23-Feb-2023 05:00 PM,06-Mar-2023 11:00 AM,"Construction of Chandbeh Baruna Bhawarna road km. 0.0 to 2.090 SH Formation cutting, Retaining walls, Cross Drainage Works, GSB, WBM.II, WBM.III, Tarring, Cement Concrete Pavement, Drain, Parapet and road furniture including five years routine mainte","Construction of Chandbeh Baruna Bhawarna road km. 0.0 to 2.090 SH Formation cutting, Retaining walls, Cross Drainage Works, GSB, WBM.II, WBM.III, Tarring, Cement Concrete Pavement, Drain, Parapet and road furniture including five years routine mainte",Please refer Tender documents. ,NA ,"2,18,01,817",Civil Works,NA ,Tender,75.0,365.0,FATEHPUR,176053.0,NA ,NA ,NA ,Fatehpur,No ,No,AOC
,,,,,,,,,,,,,,,,2.0,326409.0,M/s R.K Mahajan Govt Contractor,23-Feb-2023 01:56 PM,Rejected-Finance,Reject,27-Mar-2023 02:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,.pdf,Copy of document of online payment on account of Bid security as per Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,327070.0,Ravinder Kumar,22-Feb-2023 04:36 PM,Accepted-AOC,ACCEPT,27-Mar-2023 02:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Contractor Registration certificate, Legal status as per ITB Section 2 4.2 (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,325737.0,SEWA SINGH,23-Feb-2023 02:50 PM,Rejected-Technical,Not Responsive,02-Mar-2023 03:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid Registration under EPF miscellaneous Provision Act. 1952 ITB Sec. 2(4.1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover certificate from CA for last financial year with Profit and loss report,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate of similar Nature for last five years duly signed by the concerned E E,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of work in hand/ existing commitments duly signed by the Executive Engineer concerned,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery/equipments with ownership/ hired /lease, buying proof",,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of availability of technical Persons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
