S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,332696.0,RAJINDER KUMAR,INR,"593,608",Finance,Bid opening summary,Sudhir Kumar Gupta,14-Mar-2023 09:44 AM,finance_105312.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Sudhir Kumar Gupta,10-Mar-2023 01:25 PM,technical_105312.pdf,1.0,332687.0,RAJ BAHADUR,09-Mar-2023 12:52 PM,Rejected-Finance,2nd Lowest,19-Mar-2023 02:21 PM,ErParveenverma,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,19-Mar-2023 02:21 PM,finsummary_105312.pdf (316.08 KB),19-Mar-2023,"INR 565,611",60.0,Sudhir Kumar Gupta,09-May-2024 11:12 AM,AOC69845_2.pdf (332.00 KB),AOC,PWD,2023_PWD_69845_2,SD-I-CTR-Tender-2023- 23611-30 dt 24-02-2023,A/R and M/O to Block 1 and 2 Transit accommodation Kasumpti Shimla (SH Repair of CGI sheet roofing over wooden trusses Transit accommodation Kasumpti Shimla)(Balance work,ErSudhirGupta,Internal,ShSureshvermaHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,10-Mar-2023 04:54 PM,13-Mar-2023 11:00 AM,techsummary_105312.pdf (219.78 KB),AOC,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,PWD,SD-I-CTR-Tender-2023- 23611-30 dt 24-02-2023,2023_PWD_69845_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),A/R and M/O to Block 1 and 2 Transit accommodation Kasumpti Shimla (SH Repair of CGI sheet roofing over wooden trusses Transit accommodation Kasumpti Shimla)(Balance work,A/R and M/O to Block 1 and 2 Transit accommodation Kasumpti Shimla (SH Repair of CGI sheet roofing over wooden trusses Transit accommodation Kasumpti Shimla)(Balance work,As per SBD ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,350.0,Nil,Nil,No,"11,400",No,fixed,,Nil,Nil,1.0,ICICI BANK,01-Mar-2023 06:00 PM,10-Mar-2023 11:00 AM,01-Mar-2023 06:00 PM,09-Mar-2023 04:00 PM,NA ,NA ,01-Mar-2023 06:00 PM,09-Mar-2023 04:00 PM,13-Mar-2023 11:00 AM,AOC
,,,,,,,,,,,,,,,,2.0,332696.0,RAJINDER KUMAR,09-Mar-2023 02:46 PM,Accepted-AOC,Awarded,09-May-2024 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
