Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,C/O Circuit House at Palampur Tehsil Palampur Distt. Kangra (HP) (SH- Providing Fascade Lighting therein),C/O Circuit House at Palampur Tehsil Palampur Distt. Kangra (HP) (SH- Providing Fascade Lighting therein),Please refer Tender documents. ,NA ,"13,52,130",Electrical Works,NA ,Tender,120.0,730.0,Palampur in Distt. Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,Executive Engineer,Elect. Division HPPWD Palampur,1.0,ICICI BANK,14-May-2022 10:00 AM,23-May-2022 11:30 AM,14-May-2022 10:00 AM,23-May-2022 10:00 AM,NA ,NA ,14-May-2022 10:00 AM,23-May-2022 10:00 AM,16-Jul-2022 11:30 AM,"27,100",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,PWD,Elect. Division HPPWD Palampur,2022_PWD_60688_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JAM of this office,Dalip singh Patial,08-Jul-2022 01:30 PM,16-Jul-2022 11:30 AM,techsummary_91671.pdf (257.07 KB),PWD,2022_PWD_60688_1,Elect. Division HPPWD Palampur,C/O Circuit House at Palampur Tehsil Palampur Distt. Kangra (HP) (SH- Providing Fascade Lighting therein),11-Mar-2023,"INR 1,352,130",730.0,Dalip singh Patial,11-Mar-2023 01:07 PM,9934-39.pdf (761.00 KB),9934-39 DT 28.02.2023,Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO HDM/JDM of this office,Dalip singh Patial,19-Jul-2022 02:00 PM,finsummary_91671.pdf (134.11 KB),1.0,283148.0,Bhardwaj Electrical Co.,23-May-2022 07:22 AM,Rejected-Technical,Technically Not Qualified,08-Jul-2022 01:30 PM,Technical,as per uploaded document,Dalip singh Patial,08-Jul-2022 01:23 PM,technical_91671.pdf,1.0,283145.0,SATISH SHARMA,INR,"1,241,520",Finance,as per uploaded document,Dalip singh Patial,19-Jul-2022 01:57 PM,finance_91671.pdf,BOQ Comparative Chart,AOC
,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283299.0,Deepak Sood,22-May-2022 09:44 PM,Rejected-Finance,L2,19-Jul-2022 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Authorization by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,283309.0,JAMWAL ELECTRICAL WORKS,22-May-2022 06:16 PM,Rejected-Finance,L3,19-Jul-2022 02:00 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,283145.0,SATISH SHARMA,22-May-2022 04:19 PM,Accepted-AOC,L1,11-Mar-2023 01:07 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Minimum work done condition as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Declaration by the contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
