S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,304589.0,Malik Construction,INR,"5,994,377.6",Finance,Bid Opening Summary,Deepak Mahajan,22-Mar-2023 05:34 PM,finance_98239.pdf,BOQ Comparative Chart,Technical,Bid Opening Summary,Deepak Mahajan,06-Oct-2022 10:57 AM,technical_98239.pdf,1.0,304589.0,Malik Construction,28-Sep-2022 01:16 PM,Accepted-AOC,Work completed,29-Nov-2023,24-Mar-2023,"INR 6,486,720",180.0,Kumud Kumar Upadhyay,29-Nov-2023 03:06 PM,AL.pdf (973.00 KB),Award letter,Executive Engineer,Internal,Senior Assistant Superintendent HDM DAO AE,Deepak Mahajan,22-Mar-2023 05:37 PM,finsummary_98239.pdf (18.11 KB),Executive Engineer,Internal,Senior Assistant Superintendent HDM AE,Deepak Mahajan,06-Oct-2022 11:05 AM,10-Oct-2022 03:30 PM,techsummary_98239.pdf (1053.64 KB),PWD,2022_PWD_65262_2,EE Salooni letter No. 8605-55 dated 09-09-2022,"Improvement, M/T and CD on link road to village Lav K.M. 0/0 to 1/500",1.0,ICICI BANK,"1,29,800",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender from only online mode through E-payment,"2,000",Nil,Nil,No,PWD,EE Salooni letter No. 8605-55 dated 09-09-2022,2022_PWD_65262_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer Salooni Division HPPWD Salooni,"Improvement, M/T and CD on link road to village Lav K.M. 0/0 to 1/500",Providing and laying M/T from K.M. 0/0 to 1/500,Please refer Tender documents. ,NA ,"64,86,720",Civil Works,NA ,Tender,75.0,180.0,Salooni,176320.0,NA ,NA ,NA ,Executive Engineer Salooni Division HPPWD Salooni,No ,No,21-Sep-2022 10:00 AM,29-Sep-2022 11:30 AM,21-Sep-2022 10:00 AM,29-Sep-2022 11:00 AM,NA ,NA ,21-Sep-2022 10:00 AM,29-Sep-2022 11:00 AM,10-Oct-2022 03:30 PM
,,,,,,,,,,,,,,,,2.0,304741.0,Pawan Thakur Govt. Contractor,28-Sep-2022 06:18 PM,Rejected-Finance,Other Than Lowest,22-Mar-2023,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Earnest Money from only online mode through E-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3.0,302736.0,Surender Singh,21-Sep-2022 04:23 PM,Rejected-Technical,Due to bid capacity,06-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No. 24.3 and as per invitation of bid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. and copy of GSTR-3B of last preceding month or quarter as the case may be attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Form No. 8, duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/Undertaking that information furnished with the bid (Name of works is correct),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical Staff and Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand detail (Condition No. 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Turnover last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
