S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,323995.0,PREM lAL,INR,"600,525",Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Bilaspur - UDDHP,2023_UDDHP_68230_1,MCB/WORKS/2023-328-32,Upgradation of water sport building 2nd floor at luhnoo Bilaspur,Executive officer MC Bilaspur,Internal,"Executive officer MC Bilaspur, JE,ME",Mohit Sharma,20-Mar-2023 11:52 AM,finsummary_102733.pdf (272.76 KB),Executive officer MC Bilaspur,Internal,Junior Engineer MC Bilaspur AE HPPWD Bilaspur,Mohit Sharma,16-Feb-2023 04:48 PM,16-Feb-2023 04:50 PM,techsummary_102733.pdf (699.08 KB),1,324016,DEEPAK SHARMA,15-Feb-2023 06:34 PM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,Finance,SUMMARY,Mohit Sharma,20-Mar-2023 11:43 AM,finance_102733.pdf,BOQ Comparative Chart,Technical,bid summary,Mohit Sharma,16-Feb-2023 02:40 PM,technical_102733.pdf,21-Mar-2023,"INR 600,525",90.0,Mohit Sharma,23-Mar-2023 11:26 AM,awardletter.pdf (2129.00 KB),award letter,AOC,500.0,EXECUTIVE OFFICER MC BILASPUR,BILASPUR,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,"20,000",No,fixed,,Executive Officer MC Bilaspur,Bilaspur,Upgradation of water sport building 2nd floor at luhnoo Bilaspur,Upgradation of water sport building 2nd floor at luhnoo Bilaspur,Please refer Tender documents. ,NA ,"9,41,030",Civil Works,NA ,Tender,90.0,90.0,bilaspur,174001.0,NA ,NA ,NA ,Bilaspur,No ,No,07-Feb-2023 10:00 AM,16-Feb-2023 11:30 AM,07-Feb-2023 11:00 AM,16-Feb-2023 10:30 AM,07-Feb-2023 10:00 AM ,15-Feb-2023 10:00 AM ,08-Feb-2023 10:00 AM,16-Feb-2023 10:30 AM,16-Feb-2023 04:50 PM,Executive officer MC Bilaspur,Executive officer MC Bilaspur,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Bilaspur - UDDHP,MCB/WORKS/2023-328-32,2023_UDDHP_68230_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,324044,HAKAM CHAND,15-Feb-2023 07:12 PM,Rejected-Technical,not eligible,16-Feb-2023 04:48 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money refer in Schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,323974,Jagjeet Singh,15-Feb-2023 07:24 PM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Contractor Registration refer General rule No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,322012,PARDEEP SAINI CONTRACTOR,15-Feb-2023 07:07 PM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"GST with latest statement, PAN and EPF with latest statement refer General rule No 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,322317,Pawan Kumar,14-Feb-2023 10:15 AM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Work done certificate and work in hand certificate refer General rule No 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,323995,PREM lAL,15-Feb-2023 06:16 PM,Accepted-AOC,lowest bid,23-Mar-2023 11:26 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,"List of machinery, Tool, Plant refer in Schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,323868,Sanjay Saini,16-Feb-2023 10:02 AM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit of Correctness of all documents by bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,323814,SATENDER KUMAR,15-Feb-2023 06:15 PM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Form M.W.4 Form M.W.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,323664,VINOD KUMAR,15-Feb-2023 02:35 PM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,324225,Vipan Thakur,16-Feb-2023 10:06 AM,Rejected-Finance,High rates,20-Mar-2023 11:52 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
