Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial bid opened by tender committee.,Sushil Kumar,09-Mar-2023 12:02 PM,finance_103823.pdf,BOQ Comparative Chart,Technical,Fulfill all the techno-commercial condition as per bid document,Sushil Kumar,25-Feb-2023 03:11 PM,technical_103823.pdf,09-Mar-2023,"INR 420,860",30.0,Sushil Kumar,09-Mar-2023 12:26 PM,award147HTChhatri.pdf (1764.00 KB),"Awarded to M/S Satpal, VPO Karsog, Tehsil Karsog Distt. Mandi (H.P.) because the price-bid was lowest and found to be valid i.e. as per the terms and conditions mentioned in the tender document","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,25-Feb-2023 03:27 PM,25-Feb-2023 03:30 PM,techsummary_103823.pdf (434.53 KB),1.0,325507.0,KAMAKSHA POWER PROJECTS AND CONSTRUCTION PRIVATE LIMITED,19-Feb-2023 08:41 PM,Rejected-Finance,L2,09-Mar-2023 12:08 PM,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2023_HPSEB_68837_1,184619/2022-23-8389-94 Dated 09-02-2023,"Tender for replacement of 16 Nos rotten wooden poles of 22 KV HT Line from various s/stn. in electrical section Chhatri-2nd under ESD HPSEBL, Chhatri.",1.0,325441.0,SATPAL,INR,"315,649.51","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,09-Mar-2023 12:08 PM,finsummary_103823.pdf (406.51 KB),AOC,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",590.0,Nil,Nil,No,1.0,Date Corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,ICICI BANK,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/2022-23-8389-94 Dated 09-02-2023,2023_HPSEB_68837_1,Yes,Open Tender,Item Wise,Services,2.0,No,No,Online,No,No,No,"Tender for replacement of 16 Nos rotten wooden poles of 22 KV HT Line from various s/stn. in electrical section Chhatri-2nd under ESD HPSEBL, Chhatri.","Tender for replacement of 16 Nos rotten wooden poles of 22 KV HT Line from various s/stn. in electrical section Chhatri-2nd under ESD HPSEBL, Chhatri.",Please refer tender document  ,N/A ,"4,20,866",Supply and Erection,Electrical work ,Tender,180.0,30.0,Chhatri,175014.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"10,522",No,fixed,,Nil,Nil,14-Feb-2023 05:00 PM,23-Feb-2023 12:30 PM,14-Feb-2023 05:00 PM,23-Feb-2023 10:30 AM,NA ,NA ,14-Feb-2023 05:00 PM,23-Feb-2023 10:30 AM,25-Feb-2023 03:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,327206.0,NAROTAM RAM,23-Feb-2023 09:23 AM,Rejected-Finance,L3,09-Mar-2023 12:08 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,3.0,325441.0,SATPAL,19-Feb-2023 05:36 PM,Accepted-AOC,"Awarded to M/S Satpal, VPO Karsog, Tehsil Karsog Distt. Mandi (H.P.) because the price-bid was lowest and found to be valid i.e. as per the terms and conditions mentioned in the tender document",09-Mar-2023 12:27 PM,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Registration of PAN, GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Cancelled Check, Contact no. and Email ID as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
