Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
"5,000",Nil,Nil,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,ICICI BANK,"Construction of Mata Chamunda Temple in Tehsil Dharamshala, Distt. Kangra, H.P.",SH- Construction of civil portion)-2nd call,Please refer Tender documents. ,NA ,"1,95,32,532",Civil Works,NA ,Tender,75.0,270.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,PWD,dshala14635-65,2023_PWD_68008_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"3,90,650",No,fixed,,Nil,Nil,08-Feb-2023 09:00 AM,17-Feb-2023 11:30 AM,08-Feb-2023 09:00 AM,17-Feb-2023 11:00 AM,NA ,NA ,08-Feb-2023 09:00 AM,17-Feb-2023 11:00 AM,27-Feb-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,Er. Jagtar Singh Thakur,Internal,Sh. Rajinder Kumar DAO (Gr.I) Sh. Ravi Kant Supdt. Sh. Satish Kumar HDM Sh. Vipan Kumar TA,Jagtar Singh Thakur,23-Feb-2023 11:44 AM,27-Feb-2023 11:00 AM,techsummary_102449.pdf (372.64 KB),PWD,2023_PWD_68008_1,dshala14635-65,"Construction of Mata Chamunda Temple in Tehsil Dharamshala, Distt. Kangra, H.P.",03-Mar-2023,"INR 18,104,035",270.0,Tarlok Dhiman,27-Aug-2023 02:02 PM,Mahesh680081.pdf (608.00 KB),Mahesh Sharma,Er. J.S. Thakur,Internal,"Tender Asstt. , HDM, Supdt. and Sr. Divnl. Accounts Officer",Jagtar Singh Thakur,01-Mar-2023 03:18 PM,finsummary_102449.pdf (576.38 KB),1.0,324585.0,Mahesh Sharma,17-Feb-2023 09:59 AM,Accepted-AOC,L1,27-Aug-2023,Technical,AS PER DOCUMENTS ATTACHED,Jagtar Singh Thakur,21-Feb-2023 06:45 PM,technical_102449.pdf,1.0,324585.0,Mahesh Sharma,INR,"18,104,035",Finance,Attached,Jagtar Singh Thakur,01-Mar-2023 03:12 PM,finance_102449.pdf,BOQ Comparative Chart
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,2.0,321840.0,RAMESH CHAND CHOPRA AND SONS,17-Feb-2023 10:45 AM,Rejected-Technical,Not eligible for class C tender,23-Feb-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,3.0,324691.0,Suraj Parkash Aggarwal,17-Feb-2023 10:25 AM,Rejected-Finance,DUE TO HIGHER BIDDER,01-Mar-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand certificate in HP PWD duly verified by competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Turn over and Balance sheet for the last five years only for the tender costing more than 50 lacs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
