S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Tender Stage
1.0,ICICI BANK,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Demand draft towards the cost of bid documents,"5,34,000",No,fixed,,Nil,Nil,PWD,NO.7770-79 dated 4/2/2023,2023_PWD_68312_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Const.of Khajjan to Har road kms 0/0 to 3/0,"formation cutting,R/wall,breast wall,CD works,GSB WBM-II,WBM-III,Tarring,cement concrete pavement,drain, parapets,soild causeway and road furniture i/c five years routine maintenance under NABARD RIDF-XXVIII",Please refer Tender documents. ,NA ,"2,67,23,033",Civil Works - Roads,NA ,Tender,75.0,365.0,Nurpur,176202.0,NA ,NA ,NA ,Nurpur,No ,No,13-Feb-2023 10:00 AM,24-Feb-2023 11:00 AM,13-Feb-2023 10:00 AM,23-Feb-2023 05:00 PM,13-Feb-2023 10:00 AM ,23-Feb-2023 05:00 PM ,13-Feb-2023 10:00 AM,23-Feb-2023 05:00 PM,06-Mar-2023 10:30 AM,Superintending Engineer,"9th Circle, HP PWD, Nurpur",AOC,PWD,2023_PWD_68312_1,NO.7770-79 dated 4/2/2023,Const.of Khajjan to Har road kms 0/0 to 3/0,Er.M.P.Dhiman,Internal,"Divnl. Accounts Officer, EE Nurpur, EE (Design)",Janam Singh,02-Mar-2023 12:10 PM,06-Mar-2023 10:30 AM,techsummary_102866.pdf (1935.99 KB),1.0,326415.0,ANIL MAHAJAN,22-Feb-2023 04:57 PM,Rejected-Finance,Not being L1,24-Mar-2023 03:50 PM,Technical,Bid opening summary,Janam Singh,02-Mar-2023 12:03 PM,technical_102866.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Bid security in any of the forms specified in ITB Clause-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,327565.0,M.S.BROS,23-Feb-2023 11:37 AM,Rejected-Finance,Not being L1,24-Mar-2023 03:50 PM,,,,,,AOC
,,,,,,,,.pdf,Copy of Pan Card issued by Income Tax authorities clause 4.4.of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,326408.0,M/s R.K Mahajan Govt Contractor,23-Feb-2023 02:17 PM,Rejected-Finance,Not being L1,24-Mar-2023 03:50 PM,,,,,,AOC
,,,,,,,,.pdf,Contractor registration certificate clause-3 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,325845.0,M V D Cementation and Construction Pvt. Ltd.,23-Feb-2023 04:25 PM,Rejected-Finance,Not being L1,24-Mar-2023 03:50 PM,,,,,,AOC
,,,,,,,,.pdf,Annual Turnover certificate from Chartered Accountant for last five financial years Clause 4.4 ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,328102.0,Nishchal Mahajan,23-Feb-2023 01:12 PM,Accepted-AOC,Being L1,24-Mar-2023 03:52 PM,,,,,,AOC
,,,,,,,,.pdf,Affidavit regarding correctness of certificates Clause 4.4. of ITB.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,326189.0,THAKUR CONSTRUCTION CO,21-Feb-2023 01:35 PM,Rejected-Technical,Not qualified,02-Mar-2023 12:10 PM,,,,,,AOC
,,,,,,,,.pdf,Scanned copies of certificate showing details of similar nature of works executed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,scanned copies of the certificate showing details of works in hand and machineries owned/hire/lease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Bid capacity as per clause 4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,satisfactorily completed one similar work equal in value to 1/3rd of the Est.cost as per clause 4.4A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Rates of maintenance as offered by employer duly signed in PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,AOC
