Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
14-Mar-2023,"INR 9,172,607",730.0,Dalip singh Patial,14-Mar-2023 01:03 PM,boqcomparativechart.pdf (23.00 KB),10459-64 DT 09.03.2023,Er. Dalip Singh Patial Executive Engineer,Internal,SUPDT. DAO DRAUGHTSMAN,Dalip singh Patial,14-Mar-2023 01:01 PM,finsummary_88006.pdf (22.85 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Sanjay Awasthi DAO Sh. Atul Nag JDM. TQC approved by the S.E. 2nd Elect. Circle HPPWD Dharamshala,Dalip singh Patial,04-Jul-2022 12:07 PM,09-Jul-2022 11:30 AM,techsummary_88006.pdf (420.83 KB),PWD,2022_PWD_58240_1,Elect. Division HPPWD Palampur,C/O Administrative and Academic Block for Govt. Polytechnic Sullah at Parour in Distt. Kangra (HP) (SH- Providing E.I. therein),1.0,271860.0,Bhardwaj Electrical Co.,INR,"11,066,457",Finance,as per uploaded document,Dalip singh Patial,23-Jul-2022 03:42 PM,finance_88006.pdf,BOQ Comparative Chart,Technical,as per uploaded document,Dalip singh Patial,04-Jul-2022 12:05 PM,technical_88006.pdf,1.0,271860.0,Bhardwaj Electrical Co.,24-Mar-2022 10:16 PM,Accepted-AOC,L1,14-Mar-2023 01:03 PM,AOC,Executive Engineer,Elect. Division HPPWD Palampur,C/O Administrative and Academic Block for Govt. Polytechnic Sullah at Parour in Distt. Kangra (HP) (SH- Providing E.I. therein),C/O Administrative and Academic Block for Govt. Polytechnic Sullah at Parour in Distt. Kangra (HP) (SH- Providing E.I. therein),Please refer Tender documents. ,NA ,"91,72,607",Electrical Works,NA ,Tender,120.0,730.0,Parour in Distt. Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,PWD,Elect. Division HPPWD Palampur,2022_PWD_58240_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,19-Mar-2022 10:00 AM,25-Mar-2022 11:30 AM,19-Mar-2022 10:00 AM,25-Mar-2022 10:00 AM,NA ,NA ,19-Mar-2022 10:00 AM,25-Mar-2022 10:00 AM,09-Jul-2022 11:30 AM,"1,24,300",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,272665.0,D.S Ranta Electrical Contractor,24-Mar-2022 08:03 PM,Rejected-Finance,L3,14-Mar-2023 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,272704.0,KUMAR ELECTRONICS CO.,25-Mar-2022 09:50 AM,Rejected-Technical,Technically Not Qualified,04-Jul-2022 12:07 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,272690.0,Malhotra Associates,24-Mar-2022 09:37 PM,Rejected-Finance,L2,14-Mar-2023 01:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid capacity as per tender document,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar work done certificate (minimum one similar work not less than 40 percent of estimated cost),,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) duly signed,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,AOC
