Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
ErSudhirGupta,Internal,ShSureshKumarHDMShR.S ThakurSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,20-Oct-2022 11:04 AM,finsummary_99782.pdf (46.01 KB),07-Mar-2023,"INR 3,420,990",90.0,Sudhir Kumar Gupta,17-Jul-2024 03:47 PM,AOC66345_1.pdf (309.00 KB),AOC,PWD,2022_PWD_66345_1,SD-I-CTR-Tender-2022- 14220 dated 10-10-2022,A/R and M/O of Sanskrit College at Tungesh at Cheog Panchyat Tehsil Theog Distt Shimla HP SH P L Spartic ceramic tiles flooring Brick work Boundary wall Painting Distempering etc,ErSudhirGupta,Internal,ShSureshKumarHDMShR.S ThakurSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,19-Oct-2022 02:24 PM,19-Oct-2022 03:00 PM,techsummary_99782.pdf (56.55 KB),Technical,Bid opening summary,Sudhir Kumar Gupta,19-Oct-2022 02:23 PM,technical_99782.pdf,1.0,309064.0,GIAN SHARMA GOVT CONTRECTOR,18-Oct-2022 03:05 PM,Rejected-Technical,no,19-Oct-2022 02:24 PM,1.0,309062.0,rakesh,INR,"2,879,862",Finance,Bid opening summary,Sudhir Kumar Gupta,20-Oct-2022 11:02 AM,finance_99782.pdf,BOQ Comparative Chart,AOC,12-Oct-2022 10:00 AM,19-Oct-2022 11:00 AM,12-Oct-2022 10:00 AM,19-Oct-2022 10:00 AM,NA ,NA ,12-Oct-2022 10:00 AM,19-Oct-2022 10:00 AM,19-Oct-2022 03:00 PM,PWD,SD-I-CTR-Tender-2022- 14220 dated 10-10-2022,2022_PWD_66345_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,"68,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,A/R and M/O of Sanskrit College at Tungesh at Cheog Panchyat Tehsil Theog Distt Shimla HP SH P L Spartic ceramic tiles flooring Brick work Boundary wall Painting Distempering etc,A/R and M/O of Sanskrit College at Tungesh at Cheog Panchyat Tehsil Theog Distt Shimla HP SH P L Spartic ceramic tiles flooring Brick work Boundary wall Painting Distempering etc,As Per SBD ,NA ,,Civil Works,NA ,Tender,75.0,90.0,Simla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,308502.0,MADAN VERMA,18-Oct-2022 03:34 PM,Rejected-Finance,2nd Lowest,20-Oct-2022 11:04 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,309062.0,rakesh,18-Oct-2022 02:36 PM,Accepted-AOC,Awarded,17-Jul-2024 03:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Contractor registration (Refer General rule No.18),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Contractor Shall give affidavit regarding List of both gazette and non gazette HPPWD Employees,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect.( submit the original as,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantities,AOC
