Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
PWD,EE Dehra letter No.11877-81 dated 23.02.2022,2022_PWD_57293_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,Superintending Engineer,HPPWD Division Dehra,1.0,ICICI BANK,Construction of link road Gartheru to Dev Raj House Harizan Basti Dhaliara Panchayat in Km. 0/0 to 1/800,Construction of cement concrete pavement and R/Wall at RD 1/590 to 1/640,Before uploading of tender please refer to bidding document for all conditions/instructions ,NA ,"6,15,640",Civil Works,Repair of road ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"12,000",No,fixed,,Nil,Nil,03-Mar-2022 10:00 AM,10-Mar-2022 11:30 AM,03-Mar-2022 10:00 AM,09-Mar-2022 06:00 PM,03-Mar-2022 10:00 AM ,07-Mar-2022 05:00 PM ,03-Mar-2022 10:00 AM,09-Mar-2022 06:00 PM,25-Mar-2022 11:00 AM,350.0,Nil,Nil,No,AOC,EE Dehra,Internal,DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,24-Mar-2022 09:09 PM,25-Mar-2022 11:00 AM,techsummary_86493.pdf (350.44 KB),PWD,2022_PWD_57293_5,EE Dehra letter No.11877-81 dated 23.02.2022,Construction of link road Gartheru to Dev Raj House Harizan Basti Dhaliara Panchayat in Km. 0/0 to 1/800,24-Mar-2023,"INR 615,640",90.0,Dinesh Kumar Dhiman,24-Mar-2023 05:58 PM,57293_5Award.pdf (642.00 KB),Work award issued,EE Dehra,Internal,DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,01-May-2022 01:38 PM,finsummary_86493.pdf (154.22 KB),Finance,Financial bid opening summary,Dinesh Kumar Dhiman,01-May-2022 01:15 PM,finance_86493.pdf,BOQ Comparative Chart,1.0,268677.0,M/S Surjeet Singh Govt. Contractor,INR,"716,692",1.0,268649.0,ashish chaudhry,09-Mar-2022 11:43 AM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:38 PM,Technical,Bid opening summary,Dinesh Kumar Dhiman,24-Mar-2022 09:01 PM,technical_86493.pdf,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268677.0,M/S Surjeet Singh Govt. Contractor,09-Mar-2022 01:32 PM,Accepted-AOC,L1,24-Mar-2023 05:58 PM,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,268673.0,PARMINDER SINGH RANA,09-Mar-2022 08:58 AM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:38 PM,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
